ligand,affinity_kcal,hbond_total,hbond_pdon,hbond_ldon,hydrophobic,pi_stack,salt_bridge,water_bridge,hinge_residues,hbond_details,is_hinge_binder
phase2_7CHN_LIG_155119000,-10.86,6,1,5,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.25a=155.4 | GLU603(ldon)d=3.06a=114.9 | GLY605(ldon)d=3.09a=107.8 | GLY605(ldon)d=3.44a=125.8 | GLY605(ldon)d=2.88a=126.4 | GLY605(ldon)d=3.36a=137.0,True
phase2_7CHN_LIG_155118997,-10.735,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.82a=152.3 | GLU603(ldon)d=3.18a=106.4,True
phase2_7CHN_LIG_155118910,-10.439,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.44a=154.3 | GLY605(ldon)d=3.19a=138.7 | GLY605(ldon)d=3.30a=113.3,True
phase2_7CHN_LIG_155109147,-10.341,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.85a=156.4 | GLU603(ldon)d=3.21a=166.8 | GLY605(ldon)d=3.29a=148.6 | GLY605(ldon)d=3.26a=139.2,True
phase2_7CHT_LIG_155119004,-10.334,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.48a=169.0 | GLU603(ldon)d=3.10a=104.3 | GLU603(ldon)d=3.45a=124.1 | GLY605(ldon)d=3.45a=147.0 | GLY605(ldon)d=3.01a=145.9,True
phase2_7CHN_LIG_155109167,-10.333,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.38a=166.2 | GLU603(ldon)d=3.17a=122.3 | GLY605(ldon)d=3.25a=121.1 | GLY605(ldon)d=3.02a=103.2 | GLY605(ldon)d=2.80a=107.7,True
phase2_7CHM_LIG_77846657,-10.314,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.63a=143.2 | GLY605(ldon)d=2.94a=126.9,True
phase2_7CHN_LIG_155109123,-10.311,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.46a=156.6 | GLU603(ldon)d=3.09a=102.5 | GLY605(ldon)d=3.30a=143.8 | GLY605(ldon)d=2.84a=162.9 | GLY605(ldon)d=3.42a=110.6,True
phase2_7CHN_LIG_155118894,-10.293,7,1,6,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.80a=157.7 | GLU603(ldon)d=3.07a=111.4 | GLU603(ldon)d=3.45a=127.7 | GLU603(ldon)d=3.35a=139.3 | GLY605(ldon)d=3.10a=111.7 | GLY605(ldon)d=3.47a=125.4 | GLY605(ldon)d=3.35a=120.0,True
phase2_7CHN_LIG_155109177,-10.224,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.25a=154.3 | GLU603(ldon)d=3.08a=138.7 | GLY605(ldon)d=3.22a=134.9,True
phase2_7CHM_LIG_142416377,-10.186,0,0,0,0,0,0,0,[],,False
phase2_7CHN_LIG_155118926,-10.182,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.58a=163.8 | GLU603(ldon)d=3.28a=118.1 | GLY605(ldon)d=3.30a=156.2,True
phase2_7CHM_LIG_77846573,-10.158,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.96a=149.4 | GLY605(ldon)d=3.42a=154.2,True
phase2_7CHM_LIG_142436034,-10.153,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.36a=164.2,True
phase2_7CHM_LIG_146329893,-10.15,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.40a=168.2 | GLU603(ldon)d=3.16a=121.2,True
phase2_7CHN_LIG_155109171,-10.138,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.29a=148.1 | GLY605(ldon)d=3.14a=153.1 | GLY605(ldon)d=3.01a=127.2,True
phase2_7CHM_LIG_142416417,-10.081,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.33a=166.2 | GLU603(ldon)d=3.17a=112.1,True
phase2_7CHN_LIG_166866535,-10.03,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.28a=155.6 | GLU603(ldon)d=3.21a=153.3 | GLY605(ldon)d=3.09a=111.5 | GLY605(ldon)d=3.40a=120.3,True
phase2_7CHM_LIG_155558488,-9.99,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.02a=149.6 | GLU603(ldon)d=2.86a=163.7 | GLY605(ldon)d=2.82a=106.9 | GLY605(ldon)d=3.15a=106.0,True
phase2_7CHM_LIG_117884097,-9.946,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.66a=143.4 | GLY605(ldon)d=3.32a=127.6 | GLY605(ldon)d=2.92a=170.6,True
phase2_7CHM_LIG_142436041,-9.903,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.41a=166.0 | GLU603(ldon)d=3.15a=128.3 | GLY605(ldon)d=2.97a=116.3,True
phase2_7CHN_LIG_155109139,-9.868,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.96a=149.3 | GLY605(ldon)d=3.55a=112.8,True
phase2_7CHM_LIG_146289656,-9.861,0,0,0,0,0,0,0,[],,False
phase2_7CHN_LIG_155109132,-9.86,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.26a=154.4 | GLU603(ldon)d=3.08a=117.0 | GLY605(ldon)d=3.42a=106.2 | GLY605(ldon)d=3.10a=100.1,True
phase2_7CHM_LIG_146329895,-9.852,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.42a=165.9 | GLU603(ldon)d=3.16a=139.4 | GLY605(ldon)d=3.51a=115.1 | GLY605(ldon)d=2.94a=102.3 | GLY605(ldon)d=3.77a=114.7,True
phase2_7CHM_LIG_142416298,-9.85,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.25a=146.8 | GLU603(ldon)d=3.23a=143.0 | GLY605(ldon)d=3.46a=117.5,True
phase2_7CHM_LIG_155012442,-9.83,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.22a=148.0,True
phase2_7CHM_LIG_151620004,-9.829,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.23a=148.0 | GLU603(ldon)d=3.21a=129.1 | GLY605(ldon)d=3.48a=118.4,True
phase2_7CHN_LIG_155118890,-9.813,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.27a=147.7 | GLU603(ldon)d=3.16a=167.8,True
phase2_7CHT_LIG_169729259,-9.805,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.68a=151.2 | GLU603(ldon)d=3.24a=135.4 | GLY605(ldon)d=3.28a=110.0,True
phase2_7CHN_LIG_166866548,-9.799,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.30a=153.1 | GLU603(ldon)d=3.15a=141.6 | GLY605(ldon)d=3.13a=134.3 | GLY605(ldon)d=3.43a=124.2,True
phase2_7CHM_LIG_155554448,-9.75,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.15a=148.9 | GLY605(ldon)d=3.35a=118.2,True
phase2_7CHM_LIG_146329789,-9.747,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.25a=153.0 | GLY605(ldon)d=3.40a=149.8 | GLY605(ldon)d=3.40a=131.8,True
phase2_7CHM_LIG_146393700,-9.732,0,0,0,0,0,0,0,[],,False
