cid,seed,smiles,sdf_file,conformer,MW,LogP,HBD,HBA,TPSA,RotBonds,HeavyAtoms,Rings,AromaticRings
155109123,7CHN_LIG,COC1=C(C=CC(=C1)N2CCOCC2=O)NC3=NC4=C(C(=CN4)C#N)C(=N3)NC5CCCCC5,data/phase2/raw/phase2_7CHN_LIG_155109123.sdf,3d,461.53,3.69,3,8,128.19,6,34,5,3
155109125,7CHN_LIG,CCCCNC1=NC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)N4CCCC4=O)OC,data/phase2/raw/phase2_7CHN_LIG_155109125.sdf,3d,419.49,3.92,3,7,118.96,8,31,4,3
155109126,7CHN_LIG,CCOC1=C(C=CC(=C1)N2CCCC2=O)NC3=NC4=C(C(=CN4)C#N)C(=N3)NC5CCCCC5,data/phase2/raw/phase2_7CHN_LIG_155109126.sdf,3d,459.55,4.84,3,7,118.96,7,34,5,3
155109132,7CHN_LIG,CC(C)(C)CNC1=NC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)N4CCCC4=O)OC,data/phase2/raw/phase2_7CHN_LIG_155109132.sdf,3d,433.52,4.17,3,7,118.96,6,32,4,3
155109158,7CHN_LIG,CC(C)NC1=NC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)N4CCCC4=O)OC,data/phase2/raw/phase2_7CHN_LIG_155109158.sdf,3d,405.46,3.53,3,7,118.96,6,30,4,3
155109171,7CHN_LIG,COC1=C(C=CC(=C1)N2CCCC2=O)NC3=NC4=C(C(=CN4)C(F)(F)F)C(=N3)NC5CCCCC5,data/phase2/raw/phase2_7CHN_LIG_155109171.sdf,3d,488.51,5.6,3,6,95.17,6,35,5,3
155118890,7CHN_LIG,COC1=C(C=CC(=C1)N2CCCC2=O)NC3=NC4=C(C=CN4)C(=N3)NC5CCCCC5,data/phase2/raw/phase2_7CHN_LIG_155118890.sdf,3d,420.52,4.58,3,6,95.17,6,31,5,3
155691506,7CHN_LIG,CC[C@H](C)NC1=NC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)N4CCCC4=O)OC,data/phase2/raw/phase2_7CHN_LIG_155691506.sdf,3d,419.49,3.92,3,7,118.96,7,31,4,3
155691548,7CHN_LIG,CC(C)(COC)NC1=NC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)N4CCCC4=O)OC,data/phase2/raw/phase2_7CHN_LIG_155691548.sdf,3d,449.52,3.55,3,8,128.19,8,33,4,3
155691552,7CHN_LIG,CC(C)CNC1=NC(=NC2=C1C(=CN2)C#N)NC3=C(C=C(C=C3)N4CCCC4=O)OC,data/phase2/raw/phase2_7CHN_LIG_155691552.sdf,3d,419.49,3.78,3,7,118.96,7,31,4,3
