ligand,seed,affinity_kcal,gly605_contacts,glu603_contacts,MW,LogP,HBD,HBA,TPSA,pIC50_pred,IC50_pred_nM
phase2_7CIL_LIG_142416413,7CIL_LIG,-8.553,1,0,350.43,3.62,3,7,107.24,7.902,12.52
phase2_7CIL_LIG_142416385,7CIL_LIG,-8.727,4,2,350.43,3.62,3,7,107.24,7.831,14.74
phase2_7CHM_LIG_142416298,7CHM_LIG,-9.85,4,2,492.56,3.51,4,8,130.99,7.462,34.48
phase2_7CIL_LIG_129266648,7CIL_LIG,-8.671,5,2,339.45,4.0,3,6,83.45,7.461,34.59
phase2_7CIL_LIG_158224339,7CIL_LIG,-8.609,3,0,339.45,4.0,3,6,83.45,7.461,34.59
phase2_7CIL_LIG_129266632,7CIL_LIG,-8.558,5,2,339.45,4.0,3,6,83.45,7.461,34.59
phase2_7CIL_LIG_142416303,7CIL_LIG,-8.54,1,0,322.38,2.58,3,7,107.24,7.448,35.66
phase2_7CIL_LIG_145336712,7CIL_LIG,-8.62,4,2,336.4,3.17,3,7,107.24,7.403,39.55
phase2_7CIL_LIG_141725056,7CIL_LIG,-8.948,5,2,358.43,2.47,4,7,95.48,7.403,39.58
phase2_7CIL_LIG_129244941,7CIL_LIG,-8.822,5,2,350.43,3.56,3,7,107.24,7.391,40.62
phase2_7CIL_LIG_129244943,7CIL_LIG,-8.806,5,2,350.43,3.56,3,7,107.24,7.391,40.62
phase2_7CIL_LIG_129275413,7CIL_LIG,-8.922,5,2,350.43,3.56,3,7,107.24,7.391,40.62
phase2_7CHM_LIG_142416332,7CHM_LIG,-9.708,4,2,465.49,3.16,3,8,128.19,7.338,45.87
phase2_7CHM_LIG_142416338,7CHM_LIG,-9.482,5,2,480.55,3.37,4,8,130.99,7.317,48.2
phase2_7CIL_LIG_142416310,7CIL_LIG,-9.064,1,0,375.44,3.3,3,8,131.03,7.268,53.98
phase2_7CHM_LIG_151620004,7CHM_LIG,-9.829,4,2,477.48,4.66,3,7,118.96,7.251,56.07
phase2_7CHM_LIG_142416384,7CHM_LIG,-9.545,4,2,494.58,3.76,4,8,130.99,7.227,59.27
phase2_7CHN_LIG_155118967,7CHN_LIG,-9.071,1,0,362.44,4.12,4,6,111.78,7.194,63.97
phase2_7CHM_LIG_162614379,7CHM_LIG,-9.641,4,2,470.52,4.85,3,6,95.17,7.194,63.91
phase2_7CIL_LIG_141725010,7CIL_LIG,-8.813,4,2,344.4,2.22,4,7,95.48,7.185,65.31
phase2_7CIL_LIG_155621801,7CIL_LIG,-8.811,4,2,344.4,2.22,4,7,95.48,7.185,65.31
phase2_7CIL_LIG_129275440,7CIL_LIG,-9.659,4,2,350.45,4.88,2,5,75.78,7.15,70.79
phase2_7CHN_LIG_155118910,7CHN_LIG,-10.439,1,0,473.54,4.22,3,8,128.19,7.124,75.2
phase2_7CHN_LIG_155118918,7CHN_LIG,-7.83,1,0,487.56,4.61,3,8,128.19,7.114,76.86
