ligand,affinity_kcal,output_file
6B4W_LIG,-10.844,docking/results/6B4W_LIG_out.pdbqt
7CHN_LIG,-10.324,docking/results/7CHN_LIG_out.pdbqt
4JS8_LIG,-10.316,docking/results/4JS8_LIG_out.pdbqt
7CHM_LIG,-10.288,docking/results/7CHM_LIG_out.pdbqt
7CJA_LIG,-10.281,docking/results/7CJA_LIG_out.pdbqt
3GFW_S22,-10.249,docking/results/3GFW_S22_out.pdbqt
7CHT_LIG,-9.97,docking/results/7CHT_LIG_out.pdbqt
5NAD_BAY1217389,-9.91,docking/results/5NAD_BAY1217389_out.pdbqt
6TND_BAY1217389,-9.91,docking/results/6TND_BAY1217389_out.pdbqt
5EI8_LIG,-9.867,docking/results/5EI8_LIG_out.pdbqt
3WYY_LIG,-9.82,docking/results/3WYY_LIG_out.pdbqt
6N6O_LIG,-9.759,docking/results/6N6O_LIG_out.pdbqt
5EI6_LIG,-9.752,docking/results/5EI6_LIG_out.pdbqt
4D2S_LIG,-9.692,docking/results/4D2S_LIG_out.pdbqt
4O6L_LIG,-9.684,docking/results/4O6L_LIG_out.pdbqt
5LJJ_AD5,-9.645,docking/results/5LJJ_AD5_out.pdbqt
5N9S_LIG,-9.644,docking/results/5N9S_LIG_out.pdbqt
6TNB_LIG,-9.644,docking/results/6TNB_LIG_out.pdbqt
4C4G_LIG,-9.627,docking/results/4C4G_LIG_out.pdbqt
4C4H_LIG,-9.627,docking/results/4C4H_LIG_out.pdbqt
5EH0_LIG,-9.514,docking/results/5EH0_LIG_out.pdbqt
7CIL_LIG,-9.482,docking/results/7CIL_LIG_out.pdbqt
4CV9_LIG,-9.478,docking/results/4CV9_LIG_out.pdbqt
6TN9_LIG,-9.477,docking/results/6TN9_LIG_out.pdbqt
4C4J_LIG,-9.458,docking/results/4C4J_LIG_out.pdbqt
2ZMD_537,-9.449,docking/results/2ZMD_537_out.pdbqt
4CVA_LIG,-9.446,docking/results/4CVA_LIG_out.pdbqt
3W1F_LIG,-9.433,docking/results/3W1F_LIG_out.pdbqt
4C4I_LIG,-9.357,docking/results/4C4I_LIG_out.pdbqt
3WZJ_LIG,-9.226,docking/results/3WZJ_LIG_out.pdbqt
7CLH_LIG,-9.185,docking/results/7CLH_LIG_out.pdbqt
5EI2_LIG,-9.05,docking/results/5EI2_LIG_out.pdbqt
4C4E_LIG,-8.955,docking/results/4C4E_LIG_out.pdbqt
2X9E_NMS,-8.952,docking/results/2X9E_NMS_out.pdbqt
5NTT_LIG,-8.952,docking/results/5NTT_LIG_out.pdbqt
5N87_LIG,-8.862,docking/results/5N87_LIG_out.pdbqt
5MRB_LIG,-8.548,docking/results/5MRB_LIG_out.pdbqt
7LQD_LIG,-8.387,docking/results/7LQD_LIG_out.pdbqt
6TNC_LIG,-8.341,docking/results/6TNC_LIG_out.pdbqt
5N93_LIG,-8.195,docking/results/5N93_LIG_out.pdbqt
5EHL_LIG,-7.918,docking/results/5EHL_LIG_out.pdbqt
5N84_LIG,-7.884,docking/results/5N84_LIG_out.pdbqt
5NA0_8QZ,-7.863,docking/results/5NA0_8QZ_out.pdbqt
3HMP_Q36,-7.186,docking/results/3HMP_Q36_out.pdbqt
4CV8_LIG,-6.448,docking/results/4CV8_LIG_out.pdbqt
