ligand,affinity_kcal
6B4W_LIG,-10.844
7CHN_LIG,-10.324
4JS8_LIG,-10.316
7CHM_LIG,-10.288
7CJA_LIG,-10.281
3GFW_S22,-10.249
7CHT_LIG,-9.97
5NAD_BAY1217389,-9.91
6TND_BAY1217389,-9.91
5EI8_LIG,-9.867
3WYY_LIG,-9.82
6N6O_LIG,-9.759
5EI6_LIG,-9.752
4D2S_LIG,-9.692
4O6L_LIG,-9.684
5LJJ_AD5,-9.645
5N9S_LIG,-9.644
6TNB_LIG,-9.644
4C4G_LIG,-9.627
4C4H_LIG,-9.627
5EH0_LIG,-9.514
7CIL_LIG,-9.482
4CV9_LIG,-9.478
6TN9_LIG,-9.477
4C4J_LIG,-9.458
2ZMD_537,-9.449
4CVA_LIG,-9.446
3W1F_LIG,-9.433
4C4I_LIG,-9.357
3WZJ_LIG,-9.226
7CLH_LIG,-9.185
5EI2_LIG,-9.05
4C4E_LIG,-8.955
2X9E_NMS,-8.952
5NTT_LIG,-8.952
5N87_LIG,-8.862
5MRB_LIG,-8.548
7LQD_LIG,-8.387
6TNC_LIG,-8.341
5N93_LIG,-8.195
5EHL_LIG,-7.918
5N84_LIG,-7.884
5NA0_8QZ,-7.863
3HMP_Q36,-7.186
4CV8_LIG,-6.448
