ligand,affinity_kcal,binds_hinge,gly605_contacts,glu603_contacts,MW,LogP,HBD,HBA,TPSA,RotBonds,HeavyAtoms,Rings,AromaticRings,passes_ro5,ro5_violations,passes_tpsa,passes_rotbonds,has_pains,pains_alerts,passes_adme
7CHN_LIG,-10.324,True,2,0,445.53,4.45,3,7,118.96,6,33,5,3,True,0,True,True,False,0,True
4JS8_LIG,-10.316,True,3,1,419.57,5.66,1,4,50.38,6,31,5,3,True,1,True,True,False,0,True
7CHM_LIG,-10.288,True,4,1,475.55,3.8,3,8,128.19,6,35,5,3,True,0,True,True,False,0,True
7CJA_LIG,-10.281,True,4,1,445.53,4.31,3,7,118.96,7,33,5,3,True,0,True,True,False,0,True
7CHT_LIG,-9.97,True,2,1,447.5,3.3,3,8,128.19,6,33,5,3,True,0,True,True,False,0,True
5EI8_LIG,-9.867,True,3,0,412.46,3.58,1,9,95.57,5,31,5,5,True,0,True,True,False,0,True
5EI6_LIG,-9.752,True,3,0,360.42,4.4,1,6,61.2,5,27,4,4,True,0,True,True,False,0,True
4D2S_LIG,-9.692,True,3,0,430.51,4.25,2,7,88.19,6,32,5,4,True,0,True,True,False,0,True
5N9S_LIG,-9.644,True,1,0,560.63,4.85,3,6,117.28,8,40,5,5,True,1,True,True,False,0,True
6TNB_LIG,-9.644,True,1,0,560.63,4.85,3,6,117.28,8,40,5,5,True,1,True,True,False,0,True
4C4G_LIG,-9.627,True,2,0,494.98,5.32,1,8,94.28,4,35,4,4,True,1,True,True,False,0,True
4C4H_LIG,-9.627,True,2,0,494.98,5.32,1,8,94.28,4,35,4,4,True,1,True,True,False,0,True
5EH0_LIG,-9.514,True,2,0,417.52,4.64,2,8,89.78,6,31,4,4,True,0,True,True,False,0,True
7CIL_LIG,-9.482,True,3,2,336.4,3.05,3,7,107.24,4,25,4,3,True,0,True,True,False,0,True
4CV9_LIG,-9.478,True,2,0,389.46,2.44,2,5,81.33,4,29,4,3,True,0,True,True,False,0,True
6TN9_LIG,-9.477,True,1,0,444.52,3.35,3,5,94.58,4,33,5,4,True,0,True,True,False,0,True
2ZMD_537,-9.449,True,1,1,220.23,2.77,1,2,45.75,0,17,4,3,True,0,True,True,False,0,True
4CVA_LIG,-9.446,True,1,0,374.44,3.68,2,4,78.09,4,28,4,3,True,0,True,True,False,0,True
3W1F_LIG,-9.433,True,3,0,411.49,2.98,2,6,115.89,5,29,4,4,True,0,True,True,False,0,True
4C4I_LIG,-9.357,True,2,0,481.94,5.57,1,8,102.49,4,34,4,4,True,1,True,True,False,0,True
7CLH_LIG,-9.185,True,2,0,377.41,2.75,3,7,118.96,5,28,4,3,True,0,True,True,False,0,True
5EI2_LIG,-9.05,True,3,0,362.39,3.19,1,8,86.98,5,27,4,4,True,0,True,True,False,0,True
4C4E_LIG,-8.955,True,2,0,335.37,3.71,3,5,87.85,5,25,4,4,True,0,True,True,False,0,True
6TNC_LIG,-8.341,True,1,0,389.48,3.96,2,6,71.32,6,28,5,4,True,0,True,True,False,0,True
5N93_LIG,-8.195,True,3,0,324.39,2.59,4,6,129.85,4,24,2,2,True,0,True,True,False,0,True
5EHL_LIG,-7.918,True,3,0,272.35,2.97,2,3,72.94,2,20,2,2,True,0,True,True,False,0,True
5N84_LIG,-7.884,True,1,0,349.44,3.36,2,5,71.32,6,26,4,3,True,0,True,True,False,0,True
4CV8_LIG,-6.448,True,1,2,190.21,0.36,2,4,76.7,1,14,2,2,True,0,True,True,False,0,True
