ligand,affinity_kcal,hbond_total,hbond_pdon,hbond_ldon,hydrophobic,pi_stack,salt_bridge,water_bridge,hinge_residues,hbond_details,is_hinge_binder
6B4W_LIG,-10.844,2,1,1,0,0,0,0,[605],GLY605(pdon)d=4.05a=130.9 | GLY605(ldon)d=3.45a=125.4,True
7CHN_LIG,-10.324,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.51a=154.2 | GLY605(ldon)d=3.36a=123.2,True
4JS8_LIG,-10.316,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.40a=154.8 | GLU603(ldon)d=3.71a=151.9 | GLY605(ldon)d=3.80a=111.6 | GLY605(ldon)d=3.30a=120.9,True
7CHM_LIG,-10.288,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.52a=151.0 | GLU603(ldon)d=3.24a=136.8 | GLY605(ldon)d=3.32a=112.0 | GLY605(ldon)d=3.29a=159.3 | GLY605(ldon)d=3.27a=141.5,True
7CJA_LIG,-10.281,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.27a=154.8 | GLU603(ldon)d=3.08a=134.3 | GLY605(ldon)d=3.11a=111.5 | GLY605(ldon)d=3.58a=120.1 | GLY605(ldon)d=2.89a=144.5,True
3GFW_S22,-10.249,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.19a=147.5 | GLU603(ldon)d=3.00a=114.7 | GLY605(ldon)d=3.17a=156.7 | GLY605(ldon)d=4.06a=140.2,True
7CHT_LIG,-9.97,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.92a=156.4 | GLU603(ldon)d=3.21a=157.6 | GLY605(ldon)d=3.29a=122.5,True
5NAD_BAY1217389,-9.91,3,1,2,0,0,0,0,[605],GLY605(pdon)d=4.09a=147.0 | GLY605(ldon)d=3.85a=124.3 | GLY605(ldon)d=2.80a=114.0,True
6TND_BAY1217389,-9.91,3,1,2,0,0,0,0,[605],GLY605(pdon)d=4.09a=147.0 | GLY605(ldon)d=3.85a=124.3 | GLY605(ldon)d=2.80a=114.0,True
5EI8_LIG,-9.867,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.35a=152.7 | GLY605(ldon)d=3.39a=117.7 | GLY605(ldon)d=3.28a=122.8,True
3WYY_LIG,-9.82,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.86a=128.0 | GLU603(ldon)d=2.92a=128.9 | GLY605(ldon)d=3.14a=118.4,True
6N6O_LIG,-9.759,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.72a=154.8 | GLU603(ldon)d=3.20a=131.5 | GLY605(ldon)d=3.24a=120.1,True
5EI6_LIG,-9.752,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.36a=150.1 | GLY605(ldon)d=3.26a=124.2 | GLY605(ldon)d=3.05a=129.7,True
4D2S_LIG,-9.692,3,1,2,0,0,0,0,[605],GLY605(pdon)d=2.95a=160.3 | GLY605(ldon)d=3.00a=115.9 | GLY605(ldon)d=3.35a=104.1,True
4O6L_LIG,-9.684,0,0,0,0,0,0,0,[],,False
5LJJ_AD5,-9.645,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.23a=154.5 | GLY605(ldon)d=2.96a=145.5,True
5N9S_LIG,-9.644,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.44a=130.2,True
6TNB_LIG,-9.644,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.44a=130.2,True
4C4G_LIG,-9.627,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.33a=145.0 | GLY605(ldon)d=3.04a=141.0,True
4C4H_LIG,-9.627,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.33a=145.0 | GLY605(ldon)d=3.04a=141.0,True
5EH0_LIG,-9.514,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.23a=151.6 | GLY605(ldon)d=3.18a=122.0,True
7CIL_LIG,-9.482,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.01a=175.4 | GLU603(ldon)d=3.27a=139.5 | GLU603(ldon)d=3.72a=135.2 | GLY605(ldon)d=2.80a=133.6 | GLY605(ldon)d=3.80a=140.1,True
4CV9_LIG,-9.478,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.07a=159.9 | GLY605(ldon)d=3.55a=141.4,True
6TN9_LIG,-9.477,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.99a=135.0,True
4C4J_LIG,-9.458,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.73a=143.6,True
2ZMD_537,-9.449,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.80a=163.5 | GLU603(ldon)d=3.19a=133.0,True
4CVA_LIG,-9.446,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.05a=159.3,True
3W1F_LIG,-9.433,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.42a=155.6 | GLY605(ldon)d=2.93a=171.6 | GLY605(ldon)d=2.92a=117.9,True
4C4I_LIG,-9.357,2,0,2,0,0,0,0,[605],GLY605(ldon)d=3.04a=142.9 | GLY605(ldon)d=3.15a=104.9,True
3WZJ_LIG,-9.226,3,1,2,0,0,0,0,[605],GLY605(pdon)d=4.03a=160.9 | GLY605(ldon)d=2.97a=112.6 | GLY605(ldon)d=2.98a=159.6,True
7CLH_LIG,-9.185,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.83a=153.2 | GLY605(ldon)d=3.94a=110.4,True
5EI2_LIG,-9.05,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.38a=149.2 | GLY605(ldon)d=3.28a=122.8 | GLY605(ldon)d=3.11a=158.1,True
4C4E_LIG,-8.955,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.12a=159.7 | GLY605(ldon)d=2.87a=146.5,True
2X9E_NMS,-8.952,0,0,0,0,0,0,0,[],,False
5NTT_LIG,-8.952,0,0,0,0,0,0,0,[],,False
5N87_LIG,-8.862,0,0,0,0,0,0,0,[],,False
5MRB_LIG,-8.548,3,0,3,0,0,0,0,[605],GLY605(ldon)d=3.91a=139.3 | GLY605(ldon)d=3.93a=110.1 | GLY605(ldon)d=4.06a=110.9,True
7LQD_LIG,-8.387,0,0,0,0,0,0,0,[],,False
6TNC_LIG,-8.341,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.02a=143.4,True
5N93_LIG,-8.195,3,1,2,0,0,0,0,[605],GLY605(pdon)d=2.90a=171.7 | GLY605(ldon)d=3.12a=157.0 | GLY605(ldon)d=3.42a=153.6,True
5EHL_LIG,-7.918,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.39a=145.8 | GLY605(ldon)d=3.10a=121.7 | GLY605(ldon)d=3.05a=105.0,True
5N84_LIG,-7.884,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.04a=143.0,True
5NA0_8QZ,-7.863,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.38a=151.6 | GLY605(ldon)d=3.65a=112.3,True
3HMP_Q36,-7.186,0,0,0,0,0,0,0,[],,False
4CV8_LIG,-6.448,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=2.89a=152.4 | GLU603(ldon)d=3.54a=117.3 | GLU603(ldon)d=3.36a=101.7,True
