ligand,affinity_kcal,binds_hinge,gly605_contacts,glu603_contacts,MW,LogP,HBD,HBA,TPSA,RotBonds,HeavyAtoms,Rings,AromaticRings,passes_ro5,ro5_violations,passes_tpsa,passes_rotbonds,has_pains,pains_alerts,passes_adme
phase2_7CHN_LIG_155119000,-10.86,True,4,2,456.55,5.13,3,8,116.47,6,34,5,4,True,1,True,True,False,0,True
phase2_7CHN_LIG_155118997,-10.735,True,4,2,476.54,3.78,3,8,136.39,6,35,5,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155118910,-10.439,True,1,0,473.54,4.22,3,8,128.19,5,35,6,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155109147,-10.341,True,4,2,444.54,5.06,3,6,106.07,6,33,5,3,True,1,True,True,False,0,True
phase2_7CHN_LIG_155109167,-10.333,True,4,2,487.53,6.21,3,5,82.28,6,35,5,3,True,1,True,True,False,0,True
phase2_7CHM_LIG_77846657,-10.314,True,5,0,457.53,5.06,3,6,101.16,7,34,5,4,True,1,True,True,False,0,True
phase2_7CHN_LIG_155109123,-10.311,True,4,2,461.53,3.69,3,8,128.19,6,34,5,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155118894,-10.293,True,3,2,444.5,3.67,3,9,125.7,6,33,5,4,True,0,True,True,False,0,True
phase2_7CHN_LIG_155109177,-10.224,True,4,2,474.49,5.21,3,6,95.17,6,34,5,3,True,1,True,True,False,0,True
phase2_7CHN_LIG_155118926,-10.182,True,4,2,447.5,4.28,3,8,128.19,6,33,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_77846573,-10.158,True,5,0,472.55,4.8,5,7,124.19,7,35,5,4,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436034,-10.153,True,1,0,440.45,4.1,3,6,106.07,5,32,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146329893,-10.15,True,1,0,436.49,4.19,3,6,106.07,5,32,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155109171,-10.138,True,4,2,488.51,5.6,3,6,95.17,6,35,5,3,True,1,True,True,False,0,True
phase2_7CHM_LIG_142416417,-10.081,True,1,0,441.44,3.49,3,7,118.96,5,32,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_166866535,-10.03,True,4,2,451.56,4.03,3,9,111.12,6,32,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155558488,-9.99,True,5,2,481.55,3.52,2,8,110.83,6,35,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_117884097,-9.946,True,5,0,458.52,4.45,3,7,114.05,7,34,5,4,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436041,-9.903,True,1,0,454.48,4.49,3,6,106.07,6,33,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155109139,-9.868,True,4,2,430.51,4.67,3,6,106.07,6,32,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146289656,-9.861,True,1,0,436.42,4.35,3,6,106.07,5,32,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155109132,-9.86,True,3,2,433.52,4.17,3,7,118.96,6,32,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146329895,-9.852,True,1,0,450.52,4.58,3,6,106.07,6,33,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416298,-9.85,True,4,2,492.56,3.51,4,8,130.99,7,36,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155012442,-9.83,True,4,2,482.47,2.36,2,9,134.62,6,35,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_151620004,-9.829,True,4,2,477.48,4.66,3,7,118.96,6,35,5,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155118890,-9.813,True,4,2,420.52,4.58,3,6,95.17,6,31,5,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_166866548,-9.799,True,4,2,435.56,4.79,3,8,101.89,6,31,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155554448,-9.75,True,5,2,439.52,3.75,2,7,101.6,6,32,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146329789,-9.747,True,4,2,496.59,3.74,3,7,94.75,6,36,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146393700,-9.732,True,1,0,494.57,3.66,2,7,95.61,6,36,6,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_117881533,-9.725,True,4,0,464.5,4.4,2,7,105.26,7,34,4,4,True,0,True,True,False,0,True
phase2_7CHN_LIG_155109126,-9.721,True,4,2,459.55,4.84,3,7,118.96,7,34,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416332,-9.708,True,4,2,465.49,3.16,3,8,128.19,6,34,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155545935,-9.696,True,4,2,409.49,4.12,2,6,92.37,6,30,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416320,-9.689,True,5,2,466.47,3.12,2,8,125.39,6,34,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416410,-9.689,True,5,2,451.46,2.77,3,8,128.19,6,33,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_148694189,-9.686,True,5,2,482.47,2.36,2,9,134.62,6,35,5,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_129275440,-9.659,True,4,2,350.45,4.88,2,5,75.78,4,26,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155564829,-9.642,True,4,2,471.52,3.62,5,7,133.06,9,35,4,4,True,0,True,True,False,0,True
phase2_7CHM_LIG_162614379,-9.641,True,4,2,470.52,4.85,3,6,95.17,6,34,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_117881522,-9.632,True,4,2,478.48,3.39,2,8,114.49,7,35,5,4,True,0,True,True,False,0,True
phase2_7CHM_LIG_117881546,-9.63,True,4,0,450.47,3.93,2,7,105.26,6,33,4,4,True,0,True,True,False,0,True
phase2_7CHM_LIG_155548752,-9.616,True,4,2,473.54,3.84,5,7,133.06,9,35,4,4,True,0,True,True,False,0,True
phase2_7CHN_LIG_155109134,-9.608,True,5,2,419.45,2.52,3,8,128.19,6,31,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_117881541,-9.579,True,4,2,436.45,3.62,2,7,105.26,6,32,4,4,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416311,-9.557,True,4,2,466.52,2.98,4,8,130.99,7,34,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416384,-9.545,True,4,2,494.58,3.76,4,8,130.99,8,36,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436063,-9.536,True,3,0,449.43,3.85,3,6,91.51,5,32,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155691552,-9.529,True,4,2,419.49,3.78,3,7,118.96,7,31,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416365,-9.527,True,5,2,455.47,3.88,3,7,118.96,6,33,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286394,-9.52,True,5,2,438.46,3.55,2,7,116.16,6,32,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416338,-9.482,True,5,2,480.55,3.37,4,8,130.99,7,35,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416333,-9.468,True,5,2,466.52,2.93,3,8,122.2,6,34,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416334,-9.46,True,4,2,452.49,2.59,4,8,130.99,6,33,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_117881492,-9.448,True,4,1,464.46,3.05,3,8,123.28,7,34,5,4,True,0,True,True,False,0,True
phase2_7CHT_LIG_151121021,-9.439,True,2,0,421.46,3.15,3,8,128.19,5,31,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155119022,-9.431,True,1,0,473.58,5.09,3,7,118.96,8,35,5,3,True,1,True,True,False,0,True
phase2_7CHM_LIG_146393688,-9.424,True,1,0,435.46,3.68,2,6,103.27,5,32,5,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_168793585,-9.416,True,3,2,419.49,3.92,3,7,118.96,7,31,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_169729302,-9.416,True,3,2,419.49,3.92,3,7,118.96,7,31,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416343,-9.414,True,1,0,498.46,5.03,3,6,95.17,6,35,4,3,True,1,True,True,False,0,True
phase2_7CHM_LIG_142416358,-9.402,True,5,2,452.49,2.54,3,8,122.2,5,33,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_151973166,-9.398,True,4,2,476.46,3.78,3,7,104.4,6,34,5,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155109143,-9.384,True,4,2,406.49,4.19,3,6,95.17,6,30,5,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155109125,-9.378,True,5,2,419.49,3.92,3,7,118.96,8,31,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490578,-9.374,True,5,2,452.52,2.77,3,8,113.63,7,33,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_150071746,-9.37,True,4,2,451.44,4.13,3,7,118.96,6,33,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142755078,-9.341,True,4,2,354.46,2.49,3,7,86.69,5,26,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155109158,-9.339,True,5,2,405.46,3.53,3,7,118.96,6,30,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146393631,-9.338,True,2,0,436.45,3.07,2,7,116.16,5,32,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_162614708,-9.327,True,2,0,494.49,4.34,4,6,94.31,6,35,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_126482470,-9.321,True,5,2,436.52,3.03,2,7,95.61,6,32,5,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_166866574,-9.309,True,5,2,405.46,3.53,3,7,118.96,7,30,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146393798,-9.307,True,1,0,478.45,4.82,2,5,79.48,5,34,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155012424,-9.29,True,4,2,495.48,3.69,3,7,98.41,5,35,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146393712,-9.283,True,1,0,460.46,4.68,2,5,79.48,5,33,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436000,-9.272,True,5,2,434.5,3.48,3,7,115.3,6,32,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155012426,-9.27,True,4,2,466.52,2.93,3,8,122.2,6,34,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416357,-9.259,True,4,2,439.45,2.63,3,8,128.19,6,32,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436048,-9.255,True,4,2,424.44,2.84,3,7,115.3,5,31,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286387,-9.254,True,3,0,438.53,3.28,2,7,95.61,7,32,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416352,-9.241,True,4,2,453.48,3.02,3,8,128.19,7,33,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155562324,-9.228,True,4,2,395.46,3.73,2,6,92.37,6,29,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436084,-9.228,True,5,2,420.47,3.09,3,7,115.3,6,31,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_69920162,-9.197,True,3,1,443.51,4.29,2,7,104.29,5,33,5,4,True,0,True,True,False,0,True
