ligand,affinity_kcal,gly605_contacts,glu603_contacts,total_contacts,binds_hinge
phase2_7CHN_LIG_155119000,-10.86,4,2,6,True
phase2_7CHN_LIG_155118997,-10.735,4,2,6,True
phase2_7CHN_LIG_155118910,-10.439,1,0,1,True
phase2_7CHN_LIG_155109147,-10.341,4,2,6,True
phase2_7CHT_LIG_155119004,-10.334,4,2,6,True
phase2_7CHN_LIG_155109167,-10.333,4,2,6,True
phase2_7CHM_LIG_77846657,-10.314,5,0,5,True
phase2_7CHN_LIG_155109123,-10.311,4,2,6,True
phase2_7CHN_LIG_155118894,-10.293,3,2,5,True
phase2_7CHN_LIG_155109177,-10.224,4,2,6,True
phase2_7CHM_LIG_142416377,-10.186,0,0,0,False
phase2_7CHN_LIG_155118926,-10.182,4,2,6,True
phase2_7CHM_LIG_77846573,-10.158,5,0,5,True
phase2_7CHM_LIG_142436034,-10.153,1,0,1,True
phase2_7CHM_LIG_146329893,-10.15,1,0,1,True
phase2_7CHN_LIG_155109171,-10.138,4,2,6,True
phase2_7CHM_LIG_142416417,-10.081,1,0,1,True
phase2_7CHN_LIG_166866535,-10.03,4,2,6,True
phase2_7CHM_LIG_155558488,-9.99,5,2,7,True
phase2_7CHM_LIG_117884097,-9.946,5,0,5,True
phase2_7CHM_LIG_142436041,-9.903,1,0,1,True
phase2_7CHN_LIG_155109139,-9.868,4,2,6,True
phase2_7CHM_LIG_146289656,-9.861,1,0,1,True
phase2_7CHN_LIG_155109132,-9.86,3,2,5,True
phase2_7CHM_LIG_146329895,-9.852,1,0,1,True
phase2_7CHM_LIG_142416298,-9.85,4,2,6,True
phase2_7CHM_LIG_155012442,-9.83,4,2,6,True
phase2_7CHM_LIG_151620004,-9.829,4,2,6,True
phase2_7CHN_LIG_155118890,-9.813,4,2,6,True
phase2_7CHT_LIG_169729259,-9.805,4,2,6,True
phase2_7CHN_LIG_166866548,-9.799,4,2,6,True
phase2_7CHM_LIG_155554448,-9.75,5,2,7,True
phase2_7CHM_LIG_146329789,-9.747,4,2,6,True
phase2_7CHM_LIG_146393700,-9.732,1,0,1,True
phase2_7CHM_LIG_117881533,-9.725,4,0,4,True
phase2_7CHN_LIG_155109126,-9.721,4,2,6,True
phase2_7CHM_LIG_142416332,-9.708,4,2,6,True
phase2_7CHM_LIG_155545935,-9.696,4,2,6,True
phase2_7CHM_LIG_142416320,-9.689,5,2,7,True
phase2_7CHM_LIG_142416410,-9.689,5,2,7,True
phase2_7CHM_LIG_148694189,-9.686,5,2,7,True
phase2_7CJA_LIG_169728188,-9.664,4,2,6,True
phase2_7CIL_LIG_129275440,-9.659,4,2,6,True
phase2_7CHM_LIG_155564829,-9.642,4,2,6,True
phase2_7CHM_LIG_162614379,-9.641,4,2,6,True
phase2_7CHM_LIG_117881522,-9.632,4,2,6,True
phase2_7CHM_LIG_117881546,-9.63,4,0,4,True
phase2_7CHM_LIG_147772165,-9.628,5,2,7,True
phase2_7CHM_LIG_155548752,-9.616,4,2,6,True
phase2_7CHN_LIG_155109134,-9.608,5,2,7,True
phase2_7CHM_LIG_117881541,-9.579,4,2,6,True
phase2_7CHM_LIG_142416311,-9.557,4,2,6,True
phase2_7CHM_LIG_142416384,-9.545,4,2,6,True
phase2_7CHM_LIG_142436063,-9.536,3,0,3,True
phase2_7CHN_LIG_155691552,-9.529,4,2,6,True
phase2_7CHM_LIG_142416365,-9.527,5,2,7,True
phase2_7CHM_LIG_118286394,-9.52,5,2,7,True
phase2_7CHM_LIG_142416338,-9.482,5,2,7,True
phase2_7CHM_LIG_142416333,-9.468,5,2,7,True
phase2_7CHM_LIG_142416334,-9.46,4,2,6,True
phase2_7CHM_LIG_117881492,-9.448,4,1,5,True
phase2_7CHT_LIG_151121021,-9.439,2,0,2,True
phase2_7CHN_LIG_155119022,-9.431,1,0,1,True
phase2_7CHM_LIG_146393688,-9.424,1,0,1,True
phase2_7CHN_LIG_168793585,-9.416,3,2,5,True
phase2_7CHN_LIG_169729302,-9.416,3,2,5,True
phase2_7CHM_LIG_142416343,-9.414,1,0,1,True
phase2_7CHM_LIG_142416358,-9.402,5,2,7,True
phase2_7CHM_LIG_151973166,-9.398,4,2,6,True
phase2_7CHN_LIG_155109143,-9.384,4,2,6,True
phase2_7CHN_LIG_155109125,-9.378,5,2,7,True
phase2_7CHM_LIG_122490578,-9.374,5,2,7,True
phase2_7CHM_LIG_150071746,-9.37,4,2,6,True
phase2_7CIL_LIG_142755078,-9.341,4,2,6,True
phase2_7CHN_LIG_155109158,-9.339,5,2,7,True
phase2_7CHM_LIG_146393631,-9.338,2,0,2,True
phase2_7CHM_LIG_162614708,-9.327,2,0,2,True
phase2_7CHM_LIG_126482470,-9.321,5,2,7,True
phase2_7CHN_LIG_166866574,-9.309,5,2,7,True
phase2_7CHM_LIG_146393798,-9.307,1,0,1,True
phase2_7CHM_LIG_155012424,-9.29,4,2,6,True
phase2_7CHM_LIG_146393712,-9.283,1,0,1,True
phase2_7CHM_LIG_142436000,-9.272,5,2,7,True
phase2_7CHM_LIG_155012426,-9.27,4,2,6,True
phase2_7CHM_LIG_142416357,-9.259,4,2,6,True
phase2_7CHM_LIG_142436048,-9.255,4,2,6,True
phase2_7CHM_LIG_118286387,-9.254,3,0,3,True
phase2_7CHM_LIG_117881532,-9.249,0,0,0,False
phase2_7CHM_LIG_142416352,-9.241,4,2,6,True
phase2_7CHM_LIG_155562324,-9.228,4,2,6,True
phase2_7CHM_LIG_142436084,-9.228,5,2,7,True
phase2_7CHM_LIG_69920162,-9.197,3,1,4,True
phase2_7CHM_LIG_142416363,-9.197,4,2,6,True
phase2_7CHN_LIG_166866572,-9.196,4,2,6,True
phase2_7CHM_LIG_155012414,-9.196,4,2,6,True
phase2_7CHM_LIG_142435998,-9.194,5,2,7,True
phase2_7CHM_LIG_118286393,-9.186,0,0,0,False
phase2_7CHM_LIG_142436055,-9.159,0,0,0,False
phase2_7CHM_LIG_155012434,-9.158,3,2,5,True
phase2_7CHM_LIG_142416349,-9.149,3,2,5,True
phase2_7CIL_LIG_177211774,-9.146,4,2,6,True
phase2_7CHM_LIG_122490584,-9.138,5,2,7,True
phase2_7CHM_LIG_155022056,-9.121,3,2,5,True
phase2_7CHM_LIG_146393706,-9.114,1,0,1,True
phase2_7CHM_LIG_146393636,-9.105,4,2,6,True
phase2_7CHM_LIG_155536065,-9.103,4,2,6,True
phase2_7CHM_LIG_142436018,-9.1,4,2,6,True
phase2_7CHM_LIG_142436062,-9.095,4,2,6,True
phase2_7CHN_LIG_155691506,-9.093,4,2,6,True
phase2_7CIL_LIG_175716355,-9.089,4,2,6,True
phase2_7CIL_LIG_155928385,-9.079,4,0,4,True
phase2_7CHN_LIG_155118967,-9.071,1,0,1,True
phase2_7CHM_LIG_118286447,-9.07,5,2,7,True
phase2_7CHN_LIG_166866573,-9.067,4,2,6,True
phase2_7CIL_LIG_142416310,-9.064,1,0,1,True
phase2_7CHN_LIG_155109155,-9.063,4,2,6,True
phase2_7CHN_LIG_155691548,-9.06,4,2,6,True
phase2_7CHM_LIG_118286277,-9.012,5,2,7,True
phase2_7CHM_LIG_118286391,-9.008,0,0,0,False
phase2_7CHM_LIG_146393608,-8.996,1,0,1,True
phase2_7CHM_LIG_122490572,-8.984,5,2,7,True
phase2_7CHM_LIG_142416387,-8.98,0,0,0,False
phase2_7CIL_LIG_166673091,-8.971,4,2,6,True
phase2_7CHN_LIG_155118908,-8.956,4,2,6,True
phase2_7CIL_LIG_141725056,-8.948,5,2,7,True
phase2_7CHM_LIG_142436036,-8.928,0,0,0,False
phase2_7CHM_LIG_118286352,-8.927,3,0,3,True
phase2_7CIL_LIG_166635463,-8.925,5,0,5,True
phase2_7CIL_LIG_129275413,-8.922,5,2,7,True
phase2_7CHM_LIG_122490554,-8.917,5,2,7,True
phase2_7CHM_LIG_146290574,-8.906,5,0,5,True
phase2_7CHM_LIG_118286384,-8.899,5,2,7,True
phase2_7CHM_LIG_122457166,-8.898,1,0,1,True
phase2_7CHN_LIG_155691527,-8.898,4,2,6,True
phase2_7CHN_LIG_164091414,-8.898,4,2,6,True
phase2_7CHN_LIG_166866595,-8.89,1,0,1,True
phase2_7CHM_LIG_142416326,-8.884,2,0,2,True
phase2_7CHM_LIG_122490585,-8.883,5,2,7,True
phase2_7CHM_LIG_155022157,-8.882,1,0,1,True
phase2_7CIL_LIG_166675729,-8.856,5,2,7,True
