ligand,affinity_kcal,pIC50_pred,vina_norm,pIC50_norm,combined_score
phase2_7CHM_LIG_146393701,-7.025,7.096,0.8694173656767171,0.6694011484823625,0.7694092570795399
phase2_7CIL_LIG_142416413,-8.553,7.902,0.5230106551802309,1.0,0.7615053275901155
phase2_7CIL_LIG_142416385,-8.727,7.831,0.4835638177284061,0.9708777686628385,0.7272207931956223
phase2_7CHM_LIG_146393630,-7.116,6.86,0.8487871231013376,0.5726004922067268,0.7106938076540322
phase2_7CHN_LIG_155118918,-7.83,7.114,0.6869190659714349,0.6767842493847415,0.6818516576780882
phase2_7CIL_LIG_142416379,-8.571,7.487,0.5189299478576286,0.8297785069729285,0.6743542274152785
phase2_7CIL_LIG_129266632,-8.558,7.461,0.5218771253683971,0.8191140278917146,0.6704955766300559
phase2_7CIL_LIG_142416303,-8.54,7.448,0.5259578326909999,0.8137817883511076,0.6698698105210538
phase2_7CIL_LIG_158224339,-8.609,7.461,0.5103151212876897,0.8191140278917146,0.6647145745897022
phase2_7CIL_LIG_127046343,-7.469,6.814,0.7687599183858534,0.5537325676784248,0.6612462430321391
phase2_7CHN_LIG_155118969,-7.994,7.094,0.6497392881432782,0.6685808039376538,0.6591600460404661
phase2_7CIL_LIG_146851006,-7.97,7.076,0.6551802312400816,0.6611977030352746,0.6581889671376782
phase2_7CIL_LIG_129266648,-8.671,7.461,0.4962593516209477,0.8191140278917146,0.6576866897563312
phase2_7CIL_LIG_145336712,-8.62,7.403,0.5078213557016551,0.7953240360951597,0.6515726958984074
phase2_7CIL_LIG_155022217,-7.976,7.039,0.6538199954658807,0.6460213289581622,0.6499206622120215
phase2_7CIL_LIG_127046344,-7.632,6.811,0.7318068465200634,0.5525020508613616,0.6421544486907125
phase2_7CIL_LIG_142416394,-7.837,6.896,0.6853321242348673,0.5873666940114847,0.6363494091231761
phase2_7CIL_LIG_129244943,-8.806,7.391,0.46565404670142835,0.7904019688269073,0.6280280077641678
phase2_7CIL_LIG_129244941,-8.822,7.391,0.46202675130355936,0.7904019688269073,0.6262143600652333
phase2_7CIL_LIG_142416375,-7.961,6.877,0.6572205849013828,0.5795734208367512,0.6183970028690671
phase2_7CIL_LIG_129275413,-8.922,7.391,0.43935615506687803,0.7904019688269073,0.6148790619468927
phase2_7CIL_LIG_141725056,-8.948,7.403,0.433461800045341,0.7953240360951597,0.6143929180702503
phase2_7CIL_LIG_157996792,-7.521,6.614,0.7569712083427794,0.471698113207547,0.6143346607751632
phase2_7CHN_LIG_155119023,-8.311,7.023,0.5778734980729993,0.639458572600492,0.6086660353367457
phase2_7CHN_LIG_59442331,-6.449,5.96,1.0,0.2034454470877767,0.6017227235438883
phase2_7CHM_LIG_146393637,-6.956,6.214,0.8850600770800271,0.30762920426579166,0.5963446406729094
phase2_7CIL_LIG_155621801,-8.811,7.185,0.4645205168895941,0.705906480721903,0.5852134988057486
phase2_7CIL_LIG_141725010,-8.813,7.185,0.46406710496486037,0.705906480721903,0.5849867928433816
phase2_7CIL_LIG_155022147,-7.706,6.545,0.7150306053049194,0.4433962264150942,0.5792134158600067
phase2_7CIL_LIG_127048092,-8.062,6.688,0.6343232827023352,0.5020508613617717,0.5681870720320534
phase2_7CIL_LIG_155022106,-7.688,6.446,0.7191113126275221,0.4027891714520096,0.5609502420397658
phase2_7CIL_LIG_142416409,-7.647,6.421,0.7284062570845612,0.3925348646431501,0.5604705608638556
phase2_7CHN_LIG_155119024,-8.551,6.908,0.5234640671049647,0.5922887612797375,0.5578764141923511
phase2_7CHN_LIG_155118967,-9.071,7.194,0.4055769666742235,0.7095980311730926,0.557587498923658
phase2_7CIL_LIG_142416408,-7.556,6.34,0.749036499659941,0.35931091058244446,0.5541737051211928
phase2_7CIL_LIG_142755084,-8.776,6.982,0.4724552255724325,0.6226415094339622,0.5475483675031974
phase2_7CIL_LIG_142416341,-7.489,6.255,0.7642257991385173,0.3244462674323214,0.5443360332854194
phase2_7CHN_LIG_155118972,-8.448,6.785,0.5468147812287462,0.5418375717801476,0.5443261765044469
phase2_7CIL_LIG_166675729,-8.856,7.007,0.4543187485830877,0.6328958162428218,0.5436072824129548
phase2_7CIL_LIG_151591358,-7.855,6.445,0.6812514169122647,0.40237899917965547,0.5418152080459601
phase2_7CIL_LIG_127046342,-8.333,6.687,0.5728859669009294,0.5016406890894175,0.5372633279951735
phase2_7CHM_LIG_142416338,-9.482,7.317,0.3124008161414646,0.7600492206726825,0.5362250184070736
phase2_7CHM_LIG_142436016,-8.254,6.635,0.5907957379279075,0.48031173092698914,0.5355537344274484
phase2_7CHM_LIG_142416298,-9.85,7.462,0.2289730219904783,0.8195242001640687,0.5242486110772735
phase2_7CHM_LIG_142436085,-8.082,6.44,0.6297891634549986,0.40032813781788357,0.5150586506364411
phase2_7CHM_LIG_142416332,-9.708,7.338,0.26116526864656525,0.7686628383921247,0.5149140535193449
phase2_7CHM_LIG_142416384,-9.545,7.227,0.2981183405123554,0.7231337161607876,0.5106260283365716
phase2_7CHM_LIG_146312779,-8.605,6.685,0.5112219451371569,0.5008203445447085,0.5060211448409326
phase2_7CHN_LIG_164091414,-8.898,6.817,0.4447970981636817,0.554963084495488,0.4998800913295849
phase2_7CHN_LIG_155691527,-8.898,6.817,0.4447970981636817,0.554963084495488,0.4998800913295849
phase2_7CHN_LIG_155119025,-8.82,6.771,0.4624801632282928,0.536095159967186,0.4992876615977394
phase2_7CHM_LIG_146393688,-9.424,7.082,0.3255497619587395,0.663658736669401,0.49460424931407027
phase2_7CHM_LIG_162614379,-9.641,7.194,0.2763545681251416,0.7095980311730926,0.4929762996491171
phase2_7CIL_LIG_166635463,-8.925,6.782,0.4386760371797776,0.5406070549630844,0.48964154607143096
phase2_7CHN_LIG_155691506,-9.093,6.868,0.40058943550215365,0.5758818703855619,0.4882356529438578
phase2_7CHM_LIG_146329790,-8.728,6.646,0.48333711176603944,0.48482362592288747,0.4840803688444635
phase2_7CHM_LIG_151620004,-9.829,7.251,0.23373384720018112,0.7329778506972929,0.483355848948737
phase2_7CHM_LIG_142436020,-8.808,6.685,0.4652006347766946,0.5008203445447085,0.48301048966070154
phase2_7CHN_LIG_155119022,-9.431,7.027,0.32396282022217193,0.6410992616899097,0.4825310409560408
phase2_7CIL_LIG_129275440,-9.659,7.15,0.27227386080253885,0.6915504511894996,0.4819121559960192
phase2_7CHN_LIG_166866595,-8.89,6.722,0.44661074586261595,0.5159967186218212,0.48130373224221856
phase2_7CIL_LIG_142416376,-8.311,6.376,0.5778734980729993,0.37407711238720265,0.47597530523010095
phase2_7CIL_LIG_142755078,-9.341,6.94,0.34436635683518485,0.605414273995078,0.4748903154151314
phase2_7CIL_LIG_166673091,-8.971,6.723,0.42824756291090443,0.5164068908941754,0.4723272269025399
phase2_7CHM_LIG_142416326,-8.884,6.638,0.44797098163681687,0.48154224774405235,0.4647566146904346
phase2_7CHN_LIG_155118908,-8.956,6.674,0.43164815234640674,0.49630844954881054,0.4639783009476086
phase2_7CHM_LIG_142436048,-9.255,6.807,0.36386306959873016,0.5508613617719442,0.4573622156853372
phase2_7CHM_LIG_155012414,-9.196,6.774,0.3772387213783722,0.5373256767842493,0.45728219908131074
phase2_7CHM_LIG_146393631,-9.338,6.85,0.3450464747222853,0.5684987694831827,0.45677262210273395
phase2_7CIL_LIG_175716355,-9.089,6.708,0.40149625935162075,0.5102543068088596,0.45587528308024017
phase2_7CHM_LIG_142416352,-9.241,6.777,0.3670369530718658,0.5385561936013125,0.4527965733365891
phase2_7CHN_LIG_168793585,-9.416,6.868,0.3273634096576738,0.5758818703855619,0.4516226400216179
phase2_7CHN_LIG_169729302,-9.416,6.868,0.3273634096576738,0.5758818703855619,0.4516226400216179
phase2_7CHM_LIG_142416363,-9.197,6.74,0.37701201541600554,0.5233798195242001,0.4501959174701028
phase2_7CHM_LIG_122490585,-8.883,6.56,0.448197687599184,0.4495488105004099,0.448873249049797
phase2_7CHN_LIG_166866573,-9.067,6.654,0.40648379052369066,0.4881050041017226,0.4472943973127066
phase2_7CHM_LIG_142416410,-9.689,6.996,0.26547268193153467,0.6283839212469238,0.44692830158922925
phase2_7CHN_LIG_155109158,-9.339,6.796,0.3448197687599182,0.5463494667760459,0.4455846177679821
phase2_7CHM_LIG_142416357,-9.259,6.723,0.36295624574926305,0.5164068908941754,0.43968156832171923
phase2_7CHM_LIG_155532159,-7.976,6.004,0.6538199954658807,0.22149302707136964,0.43765651126862515
phase2_7CHN_LIG_166866571,-8.83,6.475,0.4602131036046247,0.41468416735028685,0.43744863547745577
phase2_7CHM_LIG_155012426,-9.27,6.718,0.3604624801632283,0.5143560295324034,0.4374092548478159
phase2_7CHN_LIG_145885842,-7.543,5.751,0.7519836771707095,0.11771944216570958,0.43485155966820954
phase2_7CHM_LIG_148694189,-9.686,6.934,0.26615279981863516,0.6029532403609515,0.43455302008979335
phase2_7CHM_LIG_142416334,-9.46,6.808,0.31738834731353405,0.5512715340442984,0.4343299406789162
phase2_7CHM_LIG_142416358,-9.402,6.774,0.33053729313080943,0.5373256767842493,0.4339314849575293
phase2_7CHM_LIG_142436055,-9.159,6.616,0.385626841985944,0.4725184577522557,0.4290726498690999
phase2_7CHM_LIG_146393798,-9.307,6.692,0.35207435955565614,0.5036915504511894,0.42788295500342277
phase2_7CHN_LIG_166866572,-9.196,6.612,0.3772387213783722,0.4708777686628383,0.4240582450206053
phase2_7CHN_LIG_155691548,-9.06,6.52,0.40807073226025825,0.4331419196062343,0.4206063259332463
phase2_7CHM_LIG_142436022,-8.546,6.231,0.524597596916799,0.31460213289581607,0.4195998649063075
phase2_7CHM_LIG_155012424,-9.29,6.638,0.3559283609158922,0.48154224774405235,0.4187353043299723
phase2_7CHM_LIG_155012442,-9.83,6.934,0.23350714123781444,0.6029532403609515,0.418230190799383
phase2_7CIL_LIG_142416321,-8.6,6.251,0.5123554749489911,0.322805578342904,0.4175805266459476
phase2_7CHM_LIG_146393706,-9.114,6.534,0.3958286102924504,0.43888433141919586,0.41735647085582317
phase2_7CHM_LIG_142416311,-9.557,6.778,0.29539786896395354,0.5389663658736666,0.41718211741881006
phase2_7CHN_LIG_155109134,-9.608,6.799,0.2838358648832462,0.5475799835931091,0.41570792423817765
phase2_7CHM_LIG_57382890,-7.815,5.806,0.6903196554069371,0.14027891714520085,0.41529928627606894
phase2_7CHM_LIG_142416333,-9.468,6.718,0.3155746996145998,0.5143560295324034,0.41496536457350164
phase2_7CHN_LIG_155109126,-9.721,6.853,0.25821809113579675,0.5697292863002459,0.4139736887180213
phase2_7CHM_LIG_142436060,-8.476,6.159,0.5404670142824753,0.28506972928630003,0.4127683717843877
phase2_7CHM_LIG_142416320,-9.689,6.828,0.26547268193153467,0.5594749794913864,0.4124738307114605
phase2_7CHM_LIG_118286440,-8.814,6.322,0.4638403990024937,0.35192780968006554,0.40788410434127964
phase2_7CHM_LIG_146290574,-8.906,6.366,0.442983450464747,0.36997538966365845,0.40647942006420273
phase2_7CHN_LIG_155119010,-8.828,6.321,0.46066651552935844,0.351517637407711,0.40609207646853474
phase2_7CHM_LIG_142436018,-9.1,6.467,0.399002493765586,0.41140278917145173,0.40520264146851886
phase2_7CHN_LIG_155691552,-9.529,6.703,0.30174563591022435,0.5082034454470877,0.404974540678656
phase2_7CHM_LIG_118286345,-8.812,6.306,0.46429381092722743,0.3453650533223953,0.4048294321248114
phase2_7CHN_LIG_166866574,-9.309,6.57,0.3516209476309228,0.45365053322395404,0.40263574042743844
phase2_7CIL_LIG_177211774,-9.146,6.476,0.3885740194967125,0.41509433962264136,0.40183417955967693
phase2_7CIL_LIG_155928385,-9.079,6.421,0.40376331897528883,0.3925348646431501,0.3981490918092195
phase2_7CHM_LIG_142436000,-9.272,6.513,0.36000906823849455,0.4302707136997537,0.39513989096912416
phase2_7CHM_LIG_142436084,-9.228,6.486,0.3699841305826343,0.41919606234618517,0.39459009646440973
phase2_7CIL_LIG_142416390,-8.84,6.261,0.4579460439809566,0.32690730106644783,0.3924266725237022
phase2_7CHN_LIG_155109125,-9.378,6.558,0.33597823622761264,0.4487284659557012,0.3923533510916569
phase2_7CHM_LIG_57383019,-8.605,6.125,0.5112219451371569,0.2711238720262509,0.3911729085817039
phase2_7CHN_LIG_155109143,-9.384,6.543,0.3346180004534117,0.4425758818703855,0.3885969411618986
phase2_7CHN_LIG_155118910,-10.439,7.124,0.09544321015642698,0.6808859721082853,0.38816459113235613
phase2_7CHM_LIG_148534597,-8.777,6.2,0.47222851961006584,0.3018867924528301,0.387057656031448
phase2_7CHN_LIG_155109139,-9.868,6.79,0.22489231466787557,0.5438884331419195,0.3843903739048975
phase2_7CHT_LIG_141303240,-7.889,5.677,0.6735434141917931,0.0873666940114845,0.3804550541016388
phase2_7CHN_LIG_166866548,-9.799,6.718,0.24053502607118568,0.5143560295324034,0.3774455278017946
phase2_7CHM_LIG_122490584,-9.138,6.346,0.39038766719564716,0.3617719442165709,0.376079805706109
phase2_7CHM_LIG_118286449,-8.35,5.901,0.5690319655406937,0.1792452830188677,0.3741386242797807
phase2_7CHT_LIG_151121021,-9.439,6.496,0.32214917252323727,0.42329778506972937,0.3727234787964833
phase2_7CHM_LIG_142416325,-8.381,5.906,0.5620040807073224,0.1812961443806396,0.371650112543981
phase2_7CHM_LIG_142435998,-9.194,6.35,0.3776921333031056,0.3634126333059882,0.3705523833045469
phase2_7CHN_LIG_166866535,-10.03,6.796,0.18816594876445253,0.5463494667760459,0.36725770777024924
phase2_7CHM_LIG_142436062,-9.095,6.278,0.40013602357741984,0.33388022969647224,0.36700812663694604
phase2_7CHM_LIG_142416383,-8.496,5.945,0.5359328950351393,0.19729286300246102,0.36661287901880013
phase2_7CHM_LIG_142416414,-8.605,6.0,0.5112219451371569,0.21985233798195228,0.3655371415595546
phase2_7CHM_LIG_140767798,-8.525,5.953,0.5293584221265017,0.20057424118129613,0.3649663316538989
phase2_7CHM_LIG_142436041,-9.903,6.713,0.2169576059850372,0.5123051681706315,0.3646313870778344
phase2_7CHM_LIG_155022157,-8.882,6.134,0.44842439356155067,0.2748154224774405,0.3616199080194956
phase2_7CHN_LIG_155118926,-10.182,6.852,0.15370664248469715,0.5693191140278917,0.3615128782562944
phase2_7CHM_LIG_146329895,-9.852,6.644,0.22851961006574456,0.4840032813781788,0.35626144572196167
phase2_7CHN_LIG_155109155,-9.063,6.202,0.40739061437315777,0.3027071369975388,0.35504887568534826
phase2_7CHM_LIG_122490553,-8.516,5.89,0.5313987757878031,0.17473338802296937,0.35306608190538624
phase2_7CHM_LIG_142416365,-9.527,6.431,0.30219904783495816,0.3966365873666939,0.349417817600826
phase2_7CHM_LIG_146393636,-9.105,6.192,0.3978689639537518,0.298605414273995,0.3482371891138734
phase2_7CHM_LIG_146329789,-9.747,6.546,0.25232373611425973,0.4438063986874487,0.3480650674008542
phase2_7CHM_LIG_126482550,-8.743,5.987,0.47993652233053713,0.21452009844134526,0.3472283103859412
phase2_7CHM_LIG_151973166,-9.398,6.346,0.33144411698027654,0.3617719442165709,0.3466080305984237
phase2_7CHM_LIG_77847232,-8.581,5.892,0.5166628882339606,0.17555373256767842,0.34610831040081946
phase2_7CHN_LIG_155109123,-10.311,6.843,0.12446157333937873,0.5656275635767021,0.3450445684580404
phase2_7CHM_LIG_117881532,-9.249,6.256,0.3652233053729311,0.3248564397046759,0.3450398725388035
phase2_7CHM_LIG_77846573,-10.158,6.758,0.1591475855815008,0.530762920426579,0.3449552530040399
phase2_7CHM_LIG_117881492,-9.448,6.356,0.3201088188619359,0.3658736669401147,0.3429912429010253
phase2_7CHM_LIG_122490576,-8.582,5.874,0.5164361822715935,0.16817063166529914,0.3423034069684463
phase2_7CHM_LIG_118286448,-8.516,5.821,0.5313987757878031,0.14643150123051654,0.33891513850915983
phase2_7CHN_LIG_155118890,-9.813,6.535,0.23736114259805008,0.4392945036915504,0.33832782314480025
phase2_7CHM_LIG_146393608,-8.996,6.076,0.4225799138517341,0.2510254306808857,0.3368026722663099
phase2_7CHM_LIG_146393712,-9.283,6.22,0.3575153026524598,0.31009023789991774,0.33380277027618876
phase2_7CHM_LIG_118286352,-8.927,6.023,0.4382226252550442,0.22928630024610308,0.33375446275057363
phase2_7CHM_LIG_155564829,-9.642,6.412,0.2761278621627749,0.38884331419196044,0.3324855881773677
phase2_7CHM_LIG_142436036,-8.928,6.004,0.4379959192926771,0.22149302707136964,0.3297444731820234
phase2_7CHM_LIG_118286384,-8.899,5.987,0.444570392201315,0.21452009844134526,0.3295452453213301
phase2_7CHN_LIG_155109147,-10.341,6.783,0.11766039446837456,0.5410172272354389,0.32933881085190675
phase2_7CHM_LIG_118286279,-8.84,5.952,0.4579460439809566,0.2001640689089416,0.3290550564449491
phase2_7CHM_LIG_122490551,-8.674,5.845,0.4955792337338472,0.1562756357670219,0.32592743475043456
phase2_7CHM_LIG_155012431,-8.535,5.749,0.5270913625028337,0.11689909762100052,0.3219952300619171
phase2_7CHM_LIG_122490552,-8.693,5.829,0.4912718204488778,0.14971287940935166,0.32049234992911474
phase2_7CHM_LIG_150071746,-9.37,6.2,0.33779188392654735,0.3018867924528301,0.31983933818968874
phase2_7CHM_LIG_122490554,-8.917,5.944,0.44048968487871226,0.19688269073010647,0.3186861878044094
phase2_7CHN_LIG_155109132,-9.86,6.458,0.22670596236681026,0.40771123872026244,0.31720860054353633
phase2_7CHM_LIG_112499966,-8.746,5.839,0.4792564044434367,0.15381460213289583,0.31653550328816626
phase2_7CHN_LIG_155118894,-10.293,6.685,0.12854228066198145,0.5008203445447085,0.314681312603345
phase2_7CHM_LIG_122490572,-8.984,5.953,0.4253003854001359,0.20057424118129613,0.31293731329071606
phase2_7CHM_LIG_142416387,-8.98,5.947,0.4262072092496031,0.19811320754716968,0.3121602083983864
phase2_7CHM_LIG_155022056,-9.121,6.011,0.39424166855588283,0.2243642329778506,0.3093029507668667
phase2_7CHM_LIG_118286391,-9.008,5.94,0.41985944230333266,0.1952420016406891,0.3075507219720109
phase2_7CHM_LIG_122490581,-8.729,5.777,0.48311040580367276,0.1283839212469236,0.3057471635252982
phase2_7CHM_LIG_142436034,-10.153,6.561,0.16028111539333462,0.4499589827727644,0.3051200490830495
phase2_7CHM_LIG_142416349,-9.149,6.0,0.38789390160961246,0.21985233798195228,0.30387311979578235
phase2_7CHM_LIG_155012434,-9.158,6.0,0.38585354794831106,0.21985233798195228,0.30285294296513166
phase2_7CHM_LIG_118286394,-9.52,6.194,0.30378598957152575,0.2994257588187037,0.30160587419511475
phase2_7CHM_LIG_142416417,-10.081,6.495,0.17660394468374518,0.4228876127973748,0.29974577874055996
phase2_7CHM_LIG_155536065,-9.103,5.954,0.39832237587848557,0.20098441345365028,0.29965339466606794
phase2_7CHM_LIG_146329893,-10.15,6.512,0.16096123328043507,0.4298605414273992,0.29541088735391713
phase2_7CHM_LIG_142416343,-9.414,6.092,0.3278168215824076,0.2575881870385559,0.2927025043104817
phase2_7CHM_LIG_155548752,-9.616,6.161,0.2820222171843119,0.28589007383100873,0.28395614550766035
phase2_7CHM_LIG_118286387,-9.254,5.947,0.3640897755610973,0.19811320754716968,0.2811014915541335
phase2_7CHM_LIG_122490578,-9.374,6.005,0.3368850600770798,0.22190319934372418,0.279394129710402
