smiles,pIC50
N[C@H]1CCC[C@@H](c2ccncc2NC(=O)c2ccc(F)c([C@H]3CC[C@H](O)CC3)n2)C1,7.0915149811213505
C[C@H]1CN(c2ccncc2NC(=O)c2ccc3ccc(-c4ccc(N5CCOCC5)nc4)cc3n2)C[C@@H](N)[C@@H]1O,7.0
Nc1nnc(-c2ccc3[nH]cc(-c4cncc(OC5CCCC5)n4)c3c2)s1,7.602059991327963
c1ccc(Nc2nnc(-c3ccc4[nH]cc(-c5cncc(C6CC6)n5)c4c3)o2)cc1,6.668208413385003
CNc1nnc(-c2ccc3[nH]cc(-c4cccc(OC5CCC5)n4)c3c2)s1,6.9824241316089255
CC(C)c1cc2nc(C(=O)Nc3cnccc3N3C[C@@H](N)[C@H](O)[C@@H](C)C3)ccc2o1,6.259637310505756
Brc1nnc(-c2ccc3[nH]cc(-c4cccc(N5CCOCC5)n4)c3c2)s1,5.523
NCC(F)(F)COc1cccc2ccc(-c3nnc4ccccn34)nc12,6.739928612014925
Fc1cccc(F)c1-c1cccc(CNc2cnccc2OC2CCNCC2)n1,5.376750709602099
FC(F)c1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3CCNCC3)n2)n1,8.4
Cc1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3CCCNCC3)n2)c1,8.47
Cn1ncc(-c2cc3c(cn2)cnn3-c2ccccc2F)c1C1=CCNCC1,5.96
CC(=O)Nc1nc(C(=O)Nc2cnccc2N2CCCCC2)cs1,4.903
C[C@@H]1C[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c3cc(-c4c(F)cccc4F)cnc23)C1,7.0
C=C(C)CNc1nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2nc1C,8.327902142064282
C[C@@H]1C[C@H](N)CN(c2ccncc2NC(=O)c2c(N)oc3cccnc23)C1,7.259637310505756
COc1ccc(/C=C2\SC(=O)NC2=O)cc1,6.522878745280337
Nc1sc(-c2c(F)cccc2F)nc1C(=O)Nc1cnc2c(c1N1CCC[C@H](N)C1)CC[C@H]2O,7.0
CC(C)Nc1ccnc(-c2c[nH]c3ccc(-c4nnc(N)o4)cc23)n1,8.650528200785613
CN1CCCN(c2cccc(-c3cccc(/C=C/C(=O)O)c3)n2)CC1,7.301029995663981
CNc1nnc(-c2ccc3[nH]cc(-c4cccc(C(F)(F)F)c4)c3c2)s1,5.523
CSc1nccc(-c2cc(C(N)=O)nn2C2CCNCC2)n1,5.0
C=Cc1ccc2sc3c(=O)[nH]c(CN(C)C)nc3c2c1,7.47
Cc1cc(-c2cc3c(cn2)cnn3-c2cccc(N3CCCNCC3)n2)sn1,8.33
Nc1sc(-c2c(F)cccc2F)nc1C(=O)Nc1cnc2ccsc2c1N1CC[C@@H](O)[C@H](N)C1,6.259637310505756
NC1CN(c2cccc(-n3ncc4cnc(-c5cnn(CC(F)(F)F)c5)cc43)n2)C1,8.09
C[C@H]1CN(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H](N)[C@H]1n1cc(-c2ccsc2)nn1,8.368556230986828
COCc1cc(F)c(-c2nc(C(=O)Nc3cnc4c(c3N3C[C@@H](N)[C@H](O)[C@@H](C)C3)CCC4O)ccc2F)c(F)c1,7.0
