smiles,mps1_pIC50,aurora_pIC50,herg_pIC50
CN1CCOc2c1cnn1c(-c3ccc4cccc(NCC5CCNCC5)c4n3)nnc21,5.370590400897281,,
CN(C)CCOc1cncc(-c2ccc3[nH]cc(-c4ccnc(N)n4)c3c2)n1,6.42021640338319,,
CO[C@H]1C[C@H](C)N(c2cnc3c(C(=O)Nc4cnccc4[C@@H]4C[C@H](C)C[C@H](N)C4)ccc(F)c3c2)C1,7.0,,
COc1ccc(F)c(-c2coc3ccc(C(=O)Nc4cnccc4N4C[C@@H](N)[C@H](O)[C@@H](C)C4)nc23)c1F,6.259637310505756,,
CCOc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c2ccc(F)cn2)n[nH]1,,,4.5
CC1(C)CC(NC(=O)C(C)(C)O)c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3Cl)nc2O1,,,6.42
Cc1cc(O[C@H](CCCCNCc2ccc(F)cc2)C(=O)NO)cc(C)c1F,,,6.1
c1ccc(COc2cncc(-c3cc4c(cn3)cnn4-c3cccc(N4CCNCC4)n3)n2)cc1,7.46,,
Fc1cccc(Cn2ccc3c(OC4CCN(Cc5ccccn5)CC4)ncnc32)c1F,,,6.0
O=c1c2ccccc2c(Cc2ccc(Cl)cc2)nn1C[C@H]1CCCN1CCCCc1ccc(OCCCN2CCCCCC2)cc1,,,7.3
Fc1ccccc1-c1ccc2oc(N3CCN4CCC3CC4)nc2n1,,,5.55
CC1(C)CC(NC(=O)C(F)(F)CO)c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3Cl)nc2O1,,,7.1
COc1cc2c(cc1O)CN(CCCCNC(=O)c1ccc3ccccc3c1)CC2,,6.1,
CN1CCOc2c1c(NC1CC[N+](C)([O-])CC1)nn1c(-c3cccc(OC(F)(F)F)c3)nnc21,6.0,,
Cc1cccc(Nc2nc(N[C@H]3CCCC[C@H]3N)ncc2C(N)=O)c1,,,5.2
Cc1ncc(-c2ccnc(Nc3ccc(C(=O)N(C)C)cc3)n2)n1C(C)C,,,4.75
Cc1ncc(C)c(C(=O)N2CCC([C@H](N)Cc3cc(F)c(F)cc3F)CC2)n1,,,4.07
