smiles,pIC50,IC50_nM,target,source
Cc1cccc([C@H]2CN(C)CCc3cc(Cl)c(O)cc32)c1,9.4,0.3981071705534969,Aurora_B,ChEMBL
CN1CCc2cc(Cl)c(O)cc2[C@@H]2c3ccccc3CC[C@H]21,6.29,512.8613839913648,Aurora_B,ChEMBL
Cc1ccc([C@H]2CN(C)CCc3cc(Cl)c(O)cc32)cc1,8.8,1.584893192461111,Aurora_B,ChEMBL
CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccccc3C[C@@H]21,8.15,7.079457843841373,Aurora_B,ChEMBL
CN1CCc2cc(Cl)c(O)cc2[C@@H]2c3ccccc3CC[C@@H]21,6.28,524.8074602497722,Aurora_B,ChEMBL
CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccccc3CC[C@H]21,6.05,891.2509381337459,Aurora_B,ChEMBL
CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccccc2)C1,9.52,0.30199517204020193,Aurora_B,ChEMBL
Cc1ccccc1[C@H]1CN(C)CCc2cc(Cl)c(O)cc21,9.1,0.7943282347242822,Aurora_B,ChEMBL
CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccccc3CC[C@@H]21,8.72,1.9054607179632443,Aurora_B,ChEMBL
NCCc1ccc(O)c(O)c1,6.72,190.54607179632484,Aurora_B,ChEMBL
Oc1cc2c(cc1O)[C@@H](c1ccccc1)CNCC2,8.29,5.128613839913658,Aurora_B,ChEMBL
CN1CCc2cc(Cl)c(O)cc2[C@@H](c2cccc3ccoc23)C1,8.22,6.025595860743569,Aurora_B,ChEMBL
CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1,7.18,66.06934480075964,Aurora_B,ChEMBL
CN(C)C1C=CC2(CC1)c1ccccc1C=Cc1ccc(Cl)cc12,9.52,0.30199517204020193,Aurora_B,ChEMBL
CN1CCc2cc(I)c(O)cc2[C@H](c2ccc(N=[N+]=[N-])cc2)C1,9.55,0.2818382931264449,Aurora_B,ChEMBL
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,6.92,120.22644346174131,Aurora_B,ChEMBL
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCNCC1,6.69,204.17379446695276,Aurora_B,ChEMBL
CN1CCc2cc(I)c(O)cc2[C@@H](c2ccc(N=[N+]=[N-])cc2)C1,7.55,28.18382931264455,Aurora_B,ChEMBL
Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N+](C)([O-])CC1,6.4,398.1071705534969,Aurora_B,ChEMBL
CN(C)C1C=CC2(CC1)c1ccccc1CCc1ccc(Cl)cc12,9.48,0.3311311214825908,Aurora_B,ChEMBL
CN1CCc2cc(I)c(O)cc2C(c2ccc(N=[N+]=[N-])cc2)C1,9.82,0.1513561248436207,Aurora_B,ChEMBL
CCCN1CCc2cc(Cl)c(O)cc2[C@@H]1c1ccccc1,6.75,177.82794100389228,Aurora_B,ChEMBL
CN1CCc2cc(Cl)c(O)cc2[C@@H]1c1ccccc1,8.18,6.606934480075965,Aurora_B,ChEMBL
Oc1cc2c(cc1Cl)CCN[C@H]2c1ccccc1,6.85,141.25375446227554,Aurora_B,ChEMBL
CN1CCc2cc(Cl)c(O)cc2[C@H]1c1ccccc1,6.35,446.6835921509635,Aurora_B,ChEMBL
Oc1cc2c(cc1Cl)CNC[C@H]2c1ccccc1,6.55,281.8382931264455,Aurora_B,ChEMBL
CN1Cc2cc(Cl)c(O)cc2[C@H](c2ccccc2)C1,7.06,87.09635899560814,Aurora_B,ChEMBL
CN1CCc2cc(Cl)c(O)cc2[C@@H]1Cc1ccccc1,7.57,26.91534803926914,Aurora_B,ChEMBL
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,6.48,331.13112148259074,Aurora_B,ChEMBL
CN(C)C1CCc2cc(O)c(O)cc2C1,5.27,5370.317963702532,Aurora_B,ChEMBL
C=CCN1CCc2c(cc(O)c(O)c2Br)[C@@H](c2ccccc2)C1,8.52,3.019951720402019,Aurora_B,ChEMBL
CCCN(CCc1ccccc1)[C@H]1CCc2c(O)cccc2C1,5.92,1202.2644346174131,Aurora_B,ChEMBL
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,5.37,4265.795188015925,Aurora_B,ChEMBL
Oc1cc2c(cc1O)[C@H]1c3ccccc3CN[C@@H]1CC2,5.92,1202.2644346174131,Aurora_B,ChEMBL
CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,5.7,1995.2623149688789,Aurora_B,ChEMBL
CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,5.82,1513.5612484362073,Aurora_B,ChEMBL
CN1C[C@H](C(N)=O)C=C2c3cccc4[nH]c(Br)c(c34)C[C@H]21,5.87,1348.9628825916532,Aurora_B,ChEMBL
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,6.27,537.0317963702532,Aurora_B,ChEMBL
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,6.21,616.5950018614822,Aurora_B,ChEMBL
NCCc1cccc(O)c1,4.32,47863.0092322638,Aurora_B,ChEMBL
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,6.57,269.1534803926914,Aurora_B,ChEMBL
CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,7.08,83.17637711026708,Aurora_B,ChEMBL
C=CCN1CCc2c(cc(O)c(O)c2Cl)[C@@H](c2ccccc2)C1,7.7,19.952623149688787,Aurora_B,ChEMBL
Oc1cc2c(c(Cl)c1O)CCNC[C@@H]2c1ccccc1,7.52,30.199517204020193,Aurora_B,ChEMBL
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,6.68,208.92961308540407,Aurora_B,ChEMBL
CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,7.11,77.62471166286912,Aurora_B,ChEMBL
Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,7.4,39.81071705534969,Aurora_B,ChEMBL
CN1CCc2cc(Br)c(O)cc2C(c2ccc(N)cc2)C1,8.64,2.29086765276777,Aurora_B,ChEMBL
CN1CCc2cc(Br)c(O)cc2C(c2ccc(Nc3ccc([N+](=O)[O-])c4nonc34)cc2)C1,8.28,5.248074602497733,Aurora_B,ChEMBL
CCCN(CCc1ccc(Nc2ccc([N+](=O)[O-])c3nonc23)cc1)[C@H]1CCc2c(O)cccc2C1,6.89,128.82495516931348,Aurora_B,ChEMBL
CCCN(CCc1ccc(Nc2ccc([N+](=O)[O-])c3nonc23)cc1)[C@@H]1CCc2c(O)cccc2C1,5.43,3715.3522909717276,Aurora_B,ChEMBL
CCCN(CCc1ccc(C)cc1)[C@@H]1CCc2c(O)cccc2C1,5.31,4897.788193684466,Aurora_B,ChEMBL
CCCN(CCc1ccc(C)cc1)[C@H]1CCc2c(O)cccc2C1,6.57,269.1534803926914,Aurora_B,ChEMBL
CN1CCc2cc(Br)c(O)cc2C(c2ccc(N/C(S)=N/c3ccc4c(c3)C(=O)OC43c4ccc(O)cc4Oc4cc(O)ccc43)cc2)C1,7.8,15.848931924611142,Aurora_B,ChEMBL
CCCN(CCc1ccccc1)[C@@H]1CCc2c(O)cccc2C1,5.19,6456.54229034655,Aurora_B,ChEMBL
O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,6.49,323.5936569296281,Aurora_B,ChEMBL
CN1CCc2cc(Br)c(O)cc2C(c2ccccc2)C1,9.52,0.30199517204020193,Aurora_B,ChEMBL
CCCN(CCc1ccc(N)cc1)C1CCc2c(O)cccc2C1,6.15,707.9457843841374,Aurora_B,ChEMBL
CCCN(CCc1ccccc1)C1CCc2c(O)cccc2C1,6.09,812.8305161640995,Aurora_B,ChEMBL
Cl.O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccc(N/C(S)=N\c3ccc(C4CNCCc5cc(O)c(O)cc54)cc3)cc21,5.0,10000.0,Aurora_B,ChEMBL
CCCN(CCc1ccc(Nc2ccc([N+](=O)[O-])c3nonc23)cc1)C1CCc2c(O)cccc2C1,6.77,169.8243652461746,Aurora_B,ChEMBL
O=C(CCCN1CCC2(CC1)C(=O)N(CCc1ccc(Nc3ccc([N+](=O)[O-])c4nonc34)cc1)CN2c1ccccc1)c1ccc(F)cc1,7.0,100.0,Aurora_B,ChEMBL
COc1ccccc1N1CCN(CCCCCNC(=O)c2cnn3ccccc23)CC1,5.96,1096.4781961431852,Aurora_B,ChEMBL
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2s1,5.06,8709.635899560813,Aurora_B,ChEMBL
COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1,6.12,758.5775750291835,Aurora_B,ChEMBL
COc1ccccc1N1CCN(CCCCNC(=O)c2cccn3nccc23)CC1,5.64,2290.867652767775,Aurora_B,ChEMBL
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2o1,5.54,2884.031503126606,Aurora_B,ChEMBL
COc1ccccc1N1CCN(CCCCCNC(=O)c2cc3ccccn3n2)CC1,5.85,1412.5375446227554,Aurora_B,ChEMBL
COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccc3[te]2)CC1,6.42,380.1893963205613,Aurora_B,ChEMBL
COc1ccccc1N1CCN(CCCCNC(=O)c2ccn3nccc3c2)CC1,5.82,1513.5612484362073,Aurora_B,ChEMBL
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2[te]1,5.85,1412.5375446227554,Aurora_B,ChEMBL
