assay_chembl_id,canonical_smiles,document_chembl_id,molecule_chembl_id,standard_units,standard_value,units,value,IC50_nM,pIC50
CHEMBL898066,CC(C)NCc1ccc(Nc2cc(-c3ccc(-c4ccc(O)cc4O)cc3)[nH]n2)cc1,CHEMBL1137531,CHEMBL398606,nM,1720.0,uM,1.72,1720.0,5.764471553092451
CHEMBL931462,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL1144687,CHEMBL388978,nM,28.0,nM,28.0,28.0,7.552841968657781
CHEMBL931462,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,CHEMBL1144687,CHEMBL82242,nM,25000.0,uM,25.0,25000.0,4.6020599913279625
CHEMBL931462,NCCc1ccc(OC(=O)c2cc(O)c(O)c(O)c2)cc1.O=C(O)C(F)(F)F,CHEMBL1144687,CHEMBL258248,nM,161000.0,uM,161.0,161000.0,3.7931741239681505
CHEMBL957366,Cc1ccc(/C=C2\SC(O)=NC2=O)cc1,CHEMBL1139352,CHEMBL447571,nM,4400.0,uM,4.4,4400.0,5.356547323513812
CHEMBL957366,Cc1cccc(/C=C2\SC(=O)NC2=O)c1,CHEMBL1139352,CHEMBL498406,nM,100.0,uM,0.1,100.0,7.0
CHEMBL957366,O=C1NC(=O)/C(=C/c2ccc(C(F)(F)F)cc2)S1,CHEMBL1139352,CHEMBL447567,nM,80.0,uM,0.08,80.0,7.096910013008056
CHEMBL957366,O=C1NC(=O)/C(=C/c2cccc(C(F)(F)F)c2)S1,CHEMBL1139352,CHEMBL183906,nM,100.0,uM,0.1,100.0,7.0
CHEMBL957366,COCOc1c(/C=C2\SC(=O)NC2=O)cccc1C(F)(F)F,CHEMBL1139352,CHEMBL497607,nM,1500.0,uM,1.5,1500.0,5.823908740944319
CHEMBL957366,COCCOc1c(/C=C2\SC(=O)NC2=O)cccc1C(F)(F)F,CHEMBL1139352,CHEMBL447741,nM,42000.0,uM,42.0,42000.0,4.376750709602099
CHEMBL957366,CCc1ccc(/C=C2\SC(=O)NC2=O)cc1,CHEMBL1139352,CHEMBL493742,nM,300.0,uM,0.3,300.0,6.522878745280337
CHEMBL957366,COc1ccc(/C=C2\SC(=O)NC2=O)cc1,CHEMBL1139352,CHEMBL85496,nM,300.0,uM,0.3,300.0,6.522878745280337
CHEMBL957366,O=C1NC(=O)/C(=C/c2ccc(OC(F)(F)F)cc2)S1,CHEMBL1139352,CHEMBL454557,nM,500.0,uM,0.5,500.0,6.301029995663981
CHEMBL957366,COc1cccc(/C=C2\SC(=O)NC2=O)c1,CHEMBL1139352,CHEMBL496782,nM,40.0,uM,0.04,40.0,7.3979400086720375
CHEMBL957366,O=C1NC(=O)/C(=C/c2cccc(OC(F)(F)F)c2)S1,CHEMBL1139352,CHEMBL496783,nM,900.0,uM,0.9,900.0,6.045757490560675
CHEMBL957366,CCOc1ccc(/C=C2\SC(=O)NC2=O)cc1,CHEMBL1139352,CHEMBL86257,nM,43000.0,uM,43.0,43000.0,4.366531544420414
CHEMBL957366,O=C1NC(=O)/C(=C/c2cccc(OC(F)(F)C(F)F)c2)S1,CHEMBL1139352,CHEMBL496784,nM,2200.0,uM,2.2,2200.0,5.657577319177793
CHEMBL957366,CCCOc1ccc(/C=C2\SC(=O)NC2=O)cc1,CHEMBL1139352,CHEMBL84558,nM,20.0,uM,0.02,20.0,7.698970004336019
