smiles,pIC50,IC50_nM,source,activity_type,chembl_id,MW,LogP,HBD,HBA
Nc1ccc(-c2c(F)cccc2F)nc1C(=O)Nc1cnccc1N1CCC[C@H](N)C1,11.398,0.004000000000000001,ChEMBL,Ki,CHEMBL3103868,424.46,3.18,3,6
Nc1ccc(-c2c(F)cccc2F)nc1C(=O)Nc1cnccc1N1CC[C@@H](O)[C@H](N)C1,11.222,0.006000000000000003,ChEMBL,Ki,CHEMBL3103869,440.45,2.15,4,7
CC(C)n1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)cccc2c1=O,10.920818753952377,0.012,ChEMBL_IC50,IC50,,393.49,3.99,3,5
C[C@H]1NC(=O)c2cc(-c3c(F)ccc4c(=O)n(C)c(NC(C)(C)C)nc34)[nH]c21,10.920818753952377,0.012,ChEMBL_IC50,IC50,,383.43,3.08,3,5
C[C@@H]1C[C@H](N)C[C@H](c2ccccc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C1,10.744727494896694,0.018,ChEMBL_IC50,IC50,,439.48,5.65,2,3
Cn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](CCN)NC4=O)cccc2c1=O,10.69897000433602,0.02,ChEMBL_IC50,IC50,,394.48,2.27,4,6
O=C(Nc1c[nH]c2ncc(-c3ccccc3F)cc12)c1cnn2ccc(NC[C@H]3CCNC[C@@H]3F)nc12,10.49,0.03235936569296281,ChEMBL,Ki,CHEMBL2387464,502.53,4.02,4,7
Cc1nc2ccc(F)c(-c3cc4c([nH]3)C3(CC3)NC4=O)c2nc1NC1(C)CC1,10.450996737974211,0.0354,ChEMBL_IC50,IC50,,377.42,3.77,3,4
Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1N[C@H]1CCC[C@@H](N)C1,10.446116973356126,0.0358,ChEMBL_IC50,IC50,,390.49,3.42,4,5
O=C(Nc1c[nH]c2ncc(-c3c(F)cccc3F)cc12)c1cnn2ccc(NC[C@H]3CCNC[C@@H]3F)nc12,10.43,0.037153522909717275,ChEMBL,Ki,CHEMBL2387465,520.52,4.16,4,7
CC(C)(C)Nc1nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2[nH]c1=O,10.422508200162774,0.0378,ChEMBL_IC50,IC50,,351.41,2.41,4,4
CCn1c(NC2(C)CC2)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c(F)ccc2c1=O,10.422508200162774,0.0378,ChEMBL_IC50,IC50,,395.44,3.32,3,5
CO[C@H]1C[C@H](N)CCN(c2c(NC(=O)c3nc(-c4c(F)cccc4F)sc3N)cnn2C)C1,10.4,0.03981071705534969,ChEMBL,Ki,CHEMBL4459538,477.54,2.6,3,9
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CC[C@@H](N)CC(F)(F)C1,10.4,0.03981071705534969,ChEMBL,Ki,CHEMBL3623150,483.5,3.22,3,8
Cc1nc2ccc(F)c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1NC1(C)CC1,10.315154638355589,0.0484,ChEMBL_IC50,IC50,,365.41,3.84,3,4
Cc1cncc(-c2cc3c(-c4cccc(N5CCNCC5)n4)n[nH]c3cn2)n1,10.31,0.04897788193684456,ChEMBL,Ki,CHEMBL3634783,372.44,2.19,2,7
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5(C)CC5)c(NC5(C)CC5)nc34)[nH]c21,10.30102999566398,0.05,ChEMBL_IC50,IC50,,403.49,3.67,3,5
Cc1nc2cccc3c2nc1N[C@H](C)/C=C/C[C@H]1CNC(=O)c2cc-3[nH]c21,10.30102999566398,0.05,ChEMBL_IC50,IC50,,359.43,3.52,3,4
Cc1nc2cccc3c2nc1NCCCC[C@H]1CNC(=O)c2cc-3[nH]c21,10.30102999566398,0.05,ChEMBL_IC50,IC50,,347.42,3.36,3,4
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCC(N)CC(F)C1,10.3,0.050118723362727144,ChEMBL,Ki,CHEMBL4439756,465.51,2.92,3,8
C[C@H]1NC(=O)c2cc(-c3c(F)ccc4c3N=C(NC3(C)CC3)N(C3CC3)C4)[nH]c21,10.221848749616356,0.06,ChEMBL_IC50,IC50,,393.47,3.73,3,4
Cc1nc2ccc(F)c(-c3cc4c(=O)[nH]ccc4[nH]3)c2nc1NC(C)(C)C,10.175874166083451,0.0667,ChEMBL_IC50,IC50,,365.41,4.12,3,4
Cc1nc2cccc3c2nc1NC/C=C\C[C@H]1CNC(=O)c2cc-3[nH]c21,10.154901959985745,0.07,ChEMBL_IC50,IC50,,345.41,3.13,3,4
CCn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c(F)ccc2c1=O,10.130181792020672,0.0741,ChEMBL_IC50,IC50,,397.45,3.57,3,5
O=C(Nc1c[nH]c2ncc(-c3c(F)cccc3F)cc12)c1cnn2ccc(NCC3CCNCC3)nc12,10.12,0.07585775750291851,ChEMBL,Ki,CHEMBL2387471,502.53,4.21,4,7
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5CC5)c(NC(C)(C)C)nc34)[nH]c21,10.119186407719209,0.076,ChEMBL_IC50,IC50,,391.48,3.74,3,5
CCn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)cccc2c1=O,10.113509274827518,0.077,ChEMBL_IC50,IC50,,379.46,3.43,3,5
Cc1cncc(-c2cc3c(cn2)cnn3-c2ccc(C3CC3)c(N3CCC[C@H](N)C3)n2)n1,10.11,0.07762471166286927,ChEMBL,Ki,CHEMBL3932475,426.53,3.39,1,8
Cc1nc2cccc(-c3[nH]c4c(c3Cl)C(=O)NC4)c2nc1NC1(C)CC1,10.106238237942057,0.0783,ChEMBL_IC50,IC50,,367.84,3.79,3,4
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC5CC5)c(NC(C)(C)C)nc34)[nH]c21,10.096910013008056,0.08,ChEMBL_IC50,IC50,,405.5,3.82,3,5
