ligand,affinity_kcal,gly605_contacts,glu603_contacts,total_contacts,binds_hinge
6B4W_LIG,-10.844,3,0,3,True
7CHN_LIG,-10.324,4,2,6,True
4JS8_LIG,-10.316,3,1,4,True
7CHM_LIG,-10.288,4,2,6,True
7CJA_LIG,-10.281,3,2,5,True
3GFW_S22,-10.249,4,2,6,True
7CHT_LIG,-9.97,4,2,6,True
5NAD_BAY1217389,-9.91,3,1,4,True
6TND_BAY1217389,-9.91,3,1,4,True
5EI8_LIG,-9.867,4,0,4,True
3WYY_LIG,-9.82,4,1,5,True
6N6O_LIG,-9.759,4,2,6,True
5EI6_LIG,-9.752,4,0,4,True
4D2S_LIG,-9.692,4,0,4,True
4O6L_LIG,-9.684,1,0,1,True
5LJJ_AD5,-9.645,4,1,5,True
5N9S_LIG,-9.644,0,0,0,False
6TNB_LIG,-9.644,0,0,0,False
4C4G_LIG,-9.627,4,0,4,True
4C4H_LIG,-9.627,4,0,4,True
5EH0_LIG,-9.514,4,0,4,True
7CIL_LIG,-9.482,5,2,7,True
4CV9_LIG,-9.478,2,1,3,True
6TN9_LIG,-9.477,2,1,3,True
4C4J_LIG,-9.458,3,0,3,True
2ZMD_537,-9.449,2,0,2,True
4CVA_LIG,-9.446,2,1,3,True
3W1F_LIG,-9.433,3,0,3,True
4C4I_LIG,-9.357,4,0,4,True
3WZJ_LIG,-9.226,5,1,6,True
7CLH_LIG,-9.185,5,2,7,True
5EI2_LIG,-9.05,4,0,4,True
4C4E_LIG,-8.955,4,0,4,True
5NTT_LIG,-8.952,1,0,1,True
2X9E_NMS,-8.952,1,0,1,True
5N87_LIG,-8.862,1,0,1,True
5MRB_LIG,-8.548,1,0,1,True
7LQD_LIG,-8.387,1,0,1,True
6TNC_LIG,-8.341,1,0,1,True
5N93_LIG,-8.195,3,1,4,True
5EHL_LIG,-7.918,0,0,0,False
5N84_LIG,-7.884,1,0,1,True
5NA0_8QZ,-7.863,1,1,2,True
3HMP_Q36,-7.186,2,0,2,True
4CV8_LIG,-6.448,2,0,2,True
