ligand,affinity_kcal,pIC50_pred,IC50_pred_nM,combined_score,max_tanimoto,mean_tanimoto,nn_pIC50,in_ad_standard,in_ad_strict
phase2_7CHN_LIG_145885842,-7.543,5.751,1776.18,,0.4306,0.1377,5.686,True,True
phase2_7CHT_LIG_141303240,-7.889,5.677,2101.94,,0.4125,0.1425,5.228,True,True
phase2_7CHN_LIG_155109143,-9.384,6.543,286.57,,0.3956,0.1547,4.85,True,False
phase2_7CHN_LIG_155118890,-9.813,6.535,291.54,,0.3956,0.1547,4.85,True,False
phase2_7CHM_LIG_118286387,-9.254,5.947,1129.84,,0.3933,0.1371,6.635,True,False
phase2_7CHM_LIG_118286352,-8.927,6.023,948.65,,0.3889,0.1389,6.635,True,False
phase2_7CHM_LIG_155564829,-9.642,6.412,387.67,,0.3765,0.1421,8.301,True,False
phase2_7CHM_LIG_155548752,-9.616,6.161,689.85,,0.369,0.1377,8.301,True,False
phase2_7CHM_LIG_155022157,-8.882,6.134,734.73,,0.3617,0.1462,6.635,True,False
phase2_7CHN_LIG_155109177,-10.224,6.412,387.25,,0.3608,0.1551,4.85,True,False
phase2_7CHM_LIG_122490550,-8.793,5.502,3145.14,,0.3605,0.1514,5.228,True,False
phase2_7CHN_LIG_155109171,-10.138,6.406,393.1,,0.3571,0.1539,4.85,True,False
phase2_7CHM_LIG_118286467,-8.794,5.623,2380.61,,0.3556,0.144,5.228,True,False
phase2_7CHM_LIG_118286391,-9.008,5.94,1148.92,,0.3548,0.1414,6.635,True,False
phase2_7CHM_LIG_112499966,-8.746,5.839,1449.18,,0.3516,0.1474,6.635,True,False
phase2_7CHM_LIG_142416325,-8.381,5.906,1241.56,,0.3511,0.15,6.635,True,False
phase2_7CHM_LIG_122490581,-8.729,5.777,1670.63,,0.3483,0.1572,5.228,True,False
phase2_7CHM_LIG_142416417,-10.081,6.495,320.12,,0.3474,0.1417,6.635,True,False
phase2_7CHM_LIG_162614379,-9.641,7.194,63.91,,0.3474,0.1522,6.635,True,False
phase2_7CHM_LIG_146393636,-9.105,6.192,642.99,,0.337,0.1636,6.635,True,False
phase2_7CHM_LIG_148534597,-8.777,6.2,631.54,,0.3368,0.1547,5.228,True,False
phase2_7CHM_LIG_142416343,-9.414,6.092,809.15,,0.3367,0.1475,6.635,True,False
phase2_7CIL_LIG_127046343,-7.469,6.814,153.61,,0.3333,0.1176,5.686,True,False
phase2_7CIL_LIG_127046344,-7.632,6.811,154.42,,0.3333,0.1176,5.686,True,False
phase2_7CHM_LIG_142416387,-8.98,5.947,1129.27,,0.3333,0.1504,5.228,True,False
phase2_7CHM_LIG_142416311,-9.557,6.778,166.72,,0.3304,0.1456,5.425,True,False
phase2_7CHM_LIG_122490552,-8.693,5.829,1483.29,,0.3297,0.1446,6.635,True,False
phase2_7CHM_LIG_77846657,-10.314,5.987,1030.16,,0.3271,0.1577,5.425,True,False
phase2_7CHM_LIG_77846573,-10.158,6.758,174.65,,0.3271,0.1557,5.425,True,False
phase2_7CHM_LIG_142416383,-8.496,5.945,1135.54,,0.3265,0.1512,6.635,True,False
phase2_7CHM_LIG_142416365,-9.527,6.431,370.82,,0.3265,0.144,6.635,True,False
phase2_7CHM_LIG_151973166,-9.398,6.346,450.58,,0.3265,0.1549,6.635,True,False
phase2_7CHM_LIG_122490576,-8.582,5.874,1335.74,,0.3263,0.1486,6.635,True,False
phase2_7CIL_LIG_127046342,-8.333,6.687,205.59,,0.3253,0.1226,5.686,True,False
phase2_7CIL_LIG_127048092,-8.062,6.688,204.99,,0.3253,0.1226,5.686,True,False
phase2_7CHM_LIG_142416334,-9.46,6.808,155.44,,0.3243,0.1433,5.425,True,False
phase2_7CHM_LIG_155022056,-9.121,6.011,975.82,,0.3232,0.1475,6.635,True,False
phase2_7CHM_LIG_146393608,-8.996,6.076,840.08,,0.3229,0.1559,6.635,True,False
phase2_7CHM_LIG_142436036,-8.928,6.004,990.91,,0.3226,0.1494,5.228,True,False
phase2_7CHM_LIG_118286393,-9.186,5.77,1697.47,,0.3226,0.1501,6.635,True,False
phase2_7CHM_LIG_122490555,-8.841,5.538,2896.6,,0.3222,0.1451,6.635,True,False
phase2_7CHM_LIG_118286459,-8.792,5.619,2402.53,,0.3218,0.1379,5.686,True,False
phase2_7CHM_LIG_142416298,-9.85,7.462,34.48,,0.3217,0.1439,5.425,True,False
phase2_7CHM_LIG_122490572,-8.984,5.953,1113.15,,0.3196,0.1488,6.635,True,False
phase2_7CHM_LIG_146393712,-9.283,6.22,602.45,,0.3196,0.156,6.635,True,False
phase2_7CHM_LIG_118286277,-9.012,5.782,1653.17,,0.3196,0.1406,5.228,True,False
phase2_7CHM_LIG_122490584,-9.138,6.346,451.19,,0.3196,0.1539,4.85,True,False
phase2_7CHM_LIG_146393637,-6.956,6.214,610.53,,0.3196,0.1589,6.635,True,False
phase2_7CHN_LIG_155109155,-9.063,6.202,627.72,,0.3191,0.1482,5.228,True,False
phase2_7CHM_LIG_122490551,-8.674,5.845,1427.43,,0.3191,0.1467,6.635,True,False
phase2_7CHN_LIG_155109126,-9.721,6.853,140.32,,0.3173,0.1457,4.85,True,False
phase2_7CHM_LIG_140767798,-8.525,5.953,1114.47,,0.3163,0.1433,6.635,True,False
phase2_7CHM_LIG_118286448,-8.516,5.821,1511.49,,0.3163,0.15,6.635,True,False
phase2_7CHM_LIG_142436063,-9.536,5.971,1067.99,,0.3158,0.1502,6.635,True,False
phase2_7CHM_LIG_142436034,-10.153,6.561,274.86,,0.3158,0.143,6.635,True,False
phase2_7CHM_LIG_118286451,-8.696,5.624,2378.66,,0.3152,0.1398,6.635,True,False
phase2_7CHM_LIG_118286345,-8.812,6.306,494.48,,0.3152,0.154,5.686,True,False
phase2_7CHM_LIG_122490554,-8.917,5.944,1137.3,,0.3125,0.147,6.635,True,False
phase2_7CHN_LIG_155119022,-9.431,7.027,93.93,,0.3113,0.1445,4.85,True,False
phase2_7CHM_LIG_117881533,-9.725,6.194,639.92,,0.3093,0.1472,6.635,True,False
phase2_7CHN_LIG_155109158,-9.339,6.796,160.09,,0.3093,0.1404,5.228,True,False
phase2_7CHM_LIG_122490553,-8.516,5.89,1286.85,,0.3093,0.1486,6.635,True,False
phase2_7CHM_LIG_118286428,-8.737,5.649,2243.99,,0.3085,0.1458,6.635,True,False
phase2_7CHN_LIG_155109125,-9.378,6.558,276.48,,0.3077,0.1395,4.85,True,False
phase2_7CHN_LIG_155109139,-9.868,6.79,162.3,,0.3069,0.1464,4.85,True,False
phase2_7CHN_LIG_155109167,-10.333,6.417,382.91,,0.3069,0.1536,4.85,True,False
phase2_7CHM_LIG_117881492,-9.448,6.356,440.44,,0.3063,0.1569,5.425,True,False
phase2_7CHM_LIG_118286394,-9.52,6.194,640.06,,0.3061,0.146,6.635,True,False
phase2_7CIL_LIG_155621801,-8.811,7.185,65.31,,0.3059,0.1348,7.824,True,False
phase2_7CIL_LIG_141725010,-8.813,7.185,65.31,,0.3059,0.1348,7.824,True,False
phase2_7CHN_LIG_155109123,-10.311,6.843,143.5,,0.3048,0.1441,4.85,True,False
phase2_7CHN_LIG_166866573,-9.067,6.654,222.06,,0.3039,0.1454,5.228,True,False
phase2_7CHN_LIG_155109147,-10.341,6.783,164.69,,0.3039,0.1454,4.85,True,False
phase2_7CHM_LIG_155532159,-7.976,6.004,990.87,,0.3034,0.1316,6.635,True,False
phase2_7CHM_LIG_142436041,-9.903,6.713,193.79,,0.303,0.1455,6.635,True,False
phase2_7CHM_LIG_142436022,-8.546,6.231,587.3,,0.303,0.1525,6.635,True,False
phase2_7CHN_LIG_155109132,-9.86,6.458,348.24,,0.303,0.1417,5.228,True,False
phase2_7CHM_LIG_146290574,-8.906,6.366,430.77,,0.303,0.1545,6.635,True,False
phase2_7CHM_LIG_57383019,-8.605,6.125,750.72,,0.3019,0.1704,8.155,True,False
phase2_7CHM_LIG_142416414,-8.605,6.0,999.07,,0.301,0.1487,6.635,True,False
phase2_7CHM_LIG_142416349,-9.149,6.0,999.07,,0.301,0.1487,6.635,True,False
phase2_7CHM_LIG_155012434,-9.158,6.0,999.07,,0.301,0.1487,6.635,True,False
phase2_7CHN_LIG_166866574,-9.309,6.57,269.39,,0.301,0.1417,4.85,True,False
phase2_7CHM_LIG_122490578,-9.374,6.005,987.5,,0.3009,0.1469,5.425,True,False
phase2_7CHN_LIG_155691548,-9.06,6.52,302.14,,0.3,0.1392,5.228,True,False
phase2_7CHN_LIG_155691552,-9.529,6.703,198.02,,0.3,0.1419,5.228,True,False
phase2_7CHN_LIG_166866595,-8.89,6.722,189.88,,0.299,0.1326,5.228,False,False
phase2_7CHN_LIG_155118997,-10.735,6.702,198.52,,0.2981,0.1422,5.228,False,False
phase2_7CHN_LIG_155109134,-9.608,6.799,158.81,,0.2981,0.1385,4.85,False,False
phase2_7CHM_LIG_155012431,-8.535,5.749,1784.13,,0.297,0.1484,6.635,False,False
phase2_7CHN_LIG_169729302,-9.416,6.868,135.67,,0.297,0.1384,5.228,False,False
phase2_7CHN_LIG_155691506,-9.093,6.868,135.67,,0.297,0.1384,5.228,False,False
phase2_7CHN_LIG_168793585,-9.416,6.868,135.67,,0.297,0.1384,5.228,False,False
phase2_7CHM_LIG_117884097,-9.946,6.083,825.95,,0.2967,0.1621,6.602,False,False
phase2_7CHM_LIG_146329893,-10.15,6.512,307.39,,0.2959,0.1406,6.635,False,False
phase2_7CHM_LIG_57382890,-7.815,5.806,1563.35,,0.2955,0.1748,6.963,False,False
phase2_7CHN_LIG_155118926,-10.182,6.852,140.65,,0.2952,0.1414,4.85,False,False
phase2_7CHM_LIG_142436060,-8.476,6.159,693.34,,0.2941,0.1532,6.635,False,False
phase2_7CHM_LIG_69920162,-9.197,5.55,2815.38,,0.2941,0.1571,6.114,False,False
phase2_7CHN_LIG_166866548,-9.799,6.718,191.28,,0.2941,0.1331,4.85,False,False
phase2_7CHM_LIG_118286279,-8.84,5.952,1116.99,,0.2929,0.1454,5.228,False,False
