ligand,seed,affinity_kcal,gly605_contacts,glu603_contacts,MW,LogP,HBD,HBA,TPSA,pIC50_pred,IC50_pred_nM,smiles,leverage,in_ad_leverage
phase2_7CIL_LIG_142416413,7CIL_LIG,-8.553,2,0,350.43,3.62,3,7,107.24,7.902,12.52,Cc1nn(C(C)C)cc1Nc1nc(NC2(C)CC2)c2c(C#N)c[nH]c2n1,0.17093484105052875,True
phase2_7CIL_LIG_142416385,7CIL_LIG,-8.727,3,0,350.43,3.62,3,7,107.24,7.831,14.74,Cc1c(Nc2nc(NC3(C)CC3)c3c(C#N)c[nH]c3n2)cnn1C(C)C,0.1388425639251067,True
phase2_7CIL_LIG_142416379,7CIL_LIG,-8.571,3,1,322.38,2.58,3,7,107.24,7.487,32.62,Cc1c(Nc2nc(NC3(C)CC3)c3c(C#N)c[nH]c3n2)cnn1C,0.1345650427161051,True
phase2_7CHM_LIG_142416298,7CHM_LIG,-9.85,2,1,492.56,3.51,4,8,130.99,7.462,34.48,COc1cc(C(=O)NC2CCN(C)CC2)c(F)cc1Nc1nc(NC2(C)CC2)c2c(C#N)c[nH]c2n1,0.15250077967000344,True
phase2_7CIL_LIG_158224339,7CIL_LIG,-8.609,2,0,339.45,4.0,3,6,83.45,7.461,34.59,Cc1c[nH]c2nc(Nc3cnn(C(C)C)c3)nc(N[C@@H](C)C3CC3)c12,0.22606327991116104,False
phase2_7CIL_LIG_129266632,7CIL_LIG,-8.558,3,1,339.45,4.0,3,6,83.45,7.461,34.59,Cc1c[nH]c2nc(Nc3cnn(C(C)C)c3)nc(N[C@H](C)C3CC3)c12,0.22606327991116104,False
phase2_7CIL_LIG_129266648,7CIL_LIG,-8.671,3,1,339.45,4.0,3,6,83.45,7.461,34.59,Cc1c[nH]c2nc(Nc3cnn(C(C)C)c3)nc(N[C@@H](C)C3CC3)c12,0.22606327991116104,False
phase2_7CIL_LIG_142416303,7CIL_LIG,-8.54,2,1,322.38,2.58,3,7,107.24,7.448,35.66,Cc1nn(C)cc1Nc1nc(NC2(C)CC2)c2c(C#N)c[nH]c2n1,0.18800347722002142,True
phase2_7CIL_LIG_141725056,7CIL_LIG,-8.948,4,1,358.43,2.47,4,7,95.48,7.403,39.58,CCn1cc(Nc2nc(N[C@H]3CNCC[C@H]3C)c3c(F)c[nH]c3n2)cn1,0.16460915299919593,True
phase2_7CIL_LIG_145336712,7CIL_LIG,-8.62,2,0,336.4,3.17,3,7,107.24,7.403,39.55,CC(C)n1cc(Nc2nc(NCC3CC3)c3c(C#N)c[nH]c3n2)cn1,0.19974872548657627,True
phase2_7CIL_LIG_129275413,7CIL_LIG,-8.922,2,0,350.43,3.56,3,7,107.24,7.391,40.62,CC(C)n1cc(Nc2nc(N[C@H](C)C3CC3)c3c(C#N)c[nH]c3n2)cn1,0.20547510952963027,True
phase2_7CIL_LIG_129244941,7CIL_LIG,-8.822,3,1,350.43,3.56,3,7,107.24,7.391,40.62,CC(C)n1cc(Nc2nc(N[C@@H](C)C3CC3)c3c(C#N)c[nH]c3n2)cn1,0.20547510952963027,True
