ligand,seed,affinity_kcal,gly605_contacts,glu603_contacts,MW,LogP,HBD,HBA,TPSA,pIC50_pred,IC50_pred_nM,smiles,pIC50_gnn,pIC50_gnn_std,IC50_gnn_nM,gnn_confidence,vina_norm,pIC50_norm,combined_score_gnn
phase2_7CIL_LIG_142416413,7CIL_LIG,-8.553,2,0,350.43,3.62,3,7,107.24,7.902,12.52,Cc1nn(C(C)C)cc1Nc1nc(NC2(C)CC2)c2c(C#N)c[nH]c2n1,4.651,0.235,22342.74,low,0.5230106551802309,0.2533256217466742,0.38816813846345255
phase2_7CIL_LIG_142416385,7CIL_LIG,-8.727,3,0,350.43,3.62,3,7,107.24,7.831,14.74,Cc1c(Nc2nc(NC3(C)CC3)c3c(C#N)c[nH]c3n2)cnn1C(C)C,4.569,0.275,26950.16,low,0.4835638177284061,0.20589936379410056,0.34473159076125337
phase2_7CIL_LIG_142416379,7CIL_LIG,-8.571,3,1,322.38,2.58,3,7,107.24,7.487,32.62,Cc1c(Nc2nc(NC3(C)CC3)c3c(C#N)c[nH]c3n2)cnn1C,4.243,0.171,57084.87,moderate,0.5189299478576286,0.017351069982649073,0.26814050892013885
phase2_7CHM_LIG_142416298,7CHM_LIG,-9.85,2,1,492.56,3.51,4,8,130.99,7.462,34.48,COc1cc(C(=O)NC2CCN(C)CC2)c(F)cc1Nc1nc(NC2(C)CC2)c2c(C#N)c[nH]c2n1,5.06,0.26,8714.34,low,0.2289730219904783,0.48987854251012114,0.35942578225029975
phase2_7CIL_LIG_158224339,7CIL_LIG,-8.609,2,0,339.45,4.0,3,6,83.45,7.461,34.59,Cc1c[nH]c2nc(Nc3cnn(C(C)C)c3)nc(N[C@@H](C)C3CC3)c12,4.95,0.305,11214.01,low,0.5103151212876897,0.4262579525737421,0.4682865369307159
phase2_7CIL_LIG_129266632,7CIL_LIG,-8.558,3,1,339.45,4.0,3,6,83.45,7.461,34.59,Cc1c[nH]c2nc(Nc3cnn(C(C)C)c3)nc(N[C@H](C)C3CC3)c12,4.922,0.316,11970.22,low,0.5218771253683971,0.4100636205899361,0.46597037297916666
phase2_7CIL_LIG_129266648,7CIL_LIG,-8.671,3,1,339.45,4.0,3,6,83.45,7.461,34.59,Cc1c[nH]c2nc(Nc3cnn(C(C)C)c3)nc(N[C@@H](C)C3CC3)c12,4.95,0.305,11214.01,low,0.4962593516209477,0.4262579525737421,0.4612586520973449
phase2_7CIL_LIG_142416303,7CIL_LIG,-8.54,2,1,322.38,2.58,3,7,107.24,7.448,35.66,Cc1nn(C)cc1Nc1nc(NC2(C)CC2)c2c(C#N)c[nH]c2n1,4.388,0.215,40882.79,low,0.5259578326909999,0.10121457489878531,0.3135862037948926
phase2_7CIL_LIG_141725056,7CIL_LIG,-8.948,4,1,358.43,2.47,4,7,95.48,7.403,39.58,CCn1cc(Nc2nc(N[C@H]3CNCC[C@H]3C)c3c(F)c[nH]c3n2)cn1,5.942,0.399,1142.97,low,0.433461800045341,1.0,0.7167309000226705
phase2_7CIL_LIG_145336712,7CIL_LIG,-8.62,2,0,336.4,3.17,3,7,107.24,7.403,39.55,CC(C)n1cc(Nc2nc(NCC3CC3)c3c(C#N)c[nH]c3n2)cn1,4.819,0.185,15173.05,moderate,0.5078213557016551,0.3504916136495083,0.4291564846755817
phase2_7CIL_LIG_129275413,7CIL_LIG,-8.922,2,0,350.43,3.56,3,7,107.24,7.391,40.62,CC(C)n1cc(Nc2nc(N[C@H](C)C3CC3)c3c(C#N)c[nH]c3n2)cn1,4.812,0.373,15402.99,low,0.43935615506687803,0.3464430306535571,0.3928995928602176
phase2_7CIL_LIG_129244941,7CIL_LIG,-8.822,3,1,350.43,3.56,3,7,107.24,7.391,40.62,CC(C)n1cc(Nc2nc(N[C@@H](C)C3CC3)c3c(C#N)c[nH]c3n2)cn1,4.854,0.332,14004.09,low,0.46202675130355936,0.3707345286292655,0.4163806399664124
phase2_7CIL_LIG_129244943,7CIL_LIG,-8.806,2,0,350.43,3.56,3,7,107.24,7.391,40.62,CC(C)n1cc(Nc2nc(N[C@@H](C)C3CC3)c3c(C#N)c[nH]c3n2)cn1,4.854,0.332,14004.09,low,0.46565404670142835,0.3707345286292655,0.41819428766534694
phase2_7CHM_LIG_142416332,7CHM_LIG,-9.708,3,0,465.49,3.16,3,8,128.19,7.338,45.87,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1nc(NC2(C)CC2)c2c(C#N)c[nH]c2n1,4.686,0.258,20610.21,low,0.26116526864656525,0.2735685367264314,0.2673669026864983
phase2_7CHM_LIG_142416338,7CHM_LIG,-9.482,3,1,480.55,3.37,4,8,130.99,7.317,48.2,CNc1nc(Nc2cc(F)c(C(=O)NC3CCN(C(C)C)CC3)cc2OC)nc2[nH]cc(C#N)c12,4.689,0.324,20440.96,low,0.3124008161414646,0.27530364372469635,0.29385222993308047
phase2_7CHM_LIG_151620004,7CHM_LIG,-9.829,2,1,477.48,4.66,3,7,118.96,7.251,56.07,COc1cc(C(=O)N2C=CC(F)(F)C=C2)ccc1Nc1nc(NC2(C)CC2)c2c(C#N)c[nH]c2n1,4.503,0.102,31418.12,moderate,0.23373384720018112,0.167727009832273,0.20073042851622708
phase2_7CHM_LIG_142416384,7CHM_LIG,-9.545,3,0,494.58,3.76,4,8,130.99,7.227,59.27,CCNc1nc(Nc2cc(F)c(C(=O)NC3CCN(C(C)C)CC3)cc2OC)nc2[nH]cc(C#N)c12,4.572,0.267,26782.42,low,0.2981183405123554,0.20763447079236552,0.25287640565236047
phase2_7CHM_LIG_162614379,7CHM_LIG,-9.641,3,1,470.52,4.85,3,6,95.17,7.194,63.91,COc1cc(C(=O)N2CCC(F)(F)CC2)ccc1Nc1nc(NC2(C)CC2)c2c(C)c[nH]c2n1,5.026,0.362,9429.24,low,0.2763545681251416,0.4702139965297858,0.3732842823274637
phase2_7CHN_LIG_155118967,7CHN_LIG,-9.071,3,1,362.44,4.12,4,6,111.78,7.194,63.97,COc1cc(N)ccc1Nc1cc(NC2CCCC2)c2c(C#N)c[nH]c2n1,5.04,0.188,9123.83,moderate,0.4055769666742235,0.47831116252168876,0.4419440645979561
phase2_7CIL_LIG_141725010,7CIL_LIG,-8.813,4,3,344.4,2.22,4,7,95.48,7.185,65.31,CCn1cc(Nc2nc(N[C@@H]3CCCNC3)c3c(F)c[nH]c3n2)cn1,5.235,0.328,5817.18,low,0.46406710496486037,0.591093117408907,0.5275801111868836
phase2_7CIL_LIG_155621801,7CIL_LIG,-8.811,5,1,344.4,2.22,4,7,95.48,7.185,65.31,CCn1cc(Nc2nc(N[C@@H]3CCCNC3)c3c(F)c[nH]c3n2)cn1,5.235,0.328,5817.18,low,0.4645205168895941,0.591093117408907,0.5278068171492506
phase2_7CIL_LIG_129275440,7CIL_LIG,-9.659,2,0,350.45,4.88,2,5,75.78,7.15,70.79,CC(C)n1cc(Nc2nc([N+]#C[C@H](C)C3CCC3)c3cc[nH]c3n2)cn1,4.933,0.225,11654.92,low,0.27227386080253885,0.4164256795835742,0.3443497701930565
phase2_7CHN_LIG_155118910,7CHN_LIG,-10.439,3,0,473.54,4.22,3,8,128.19,7.124,75.2,N#Cc1c[nH]c2nc(Nc3ccc(N4CCCC4=O)c4c3OCCO4)nc(NC3CCCCC3)c12,4.699,0.247,19977.93,low,0.09544321015642698,0.28108733371891254,0.18826527193766976
phase2_7CHN_LIG_155118918,7CHN_LIG,-7.83,3,1,487.56,4.61,3,8,128.19,7.114,76.86,N#Cc1c[nH]c2nc(Nc3ccc(N4CCCC4=O)c4c3OCCO4)nc(NC3CCCCCC3)c12,4.65,0.227,22396.67,low,0.6869190659714349,0.2527472527472529,0.4698331593593439
phase2_7CHM_LIG_146393701,7CHM_LIG,-7.025,2,1,463.51,4.46,2,6,103.27,7.096,80.22,COc1cc(C(=O)N2CCCCOCC2)c(F)cc1Nc1cc(C2CC2)c2c(C#N)c[nH]c2n1,5.2,0.253,6313.93,low,0.8694173656767171,0.5708502024291499,0.7201337840529335
phase2_7CHN_LIG_155118969,7CHN_LIG,-7.994,1,1,351.37,1.97,4,8,133.9,7.094,80.56,COc1cc(N)ccc1Nc1nc(NC2COC2)c2c(C#N)c[nH]c2n1,4.72,0.207,19057.39,low,0.6497392881432782,0.29323308270676673,0.47148618542502246
phase2_7CHM_LIG_146393688,7CHM_LIG,-9.424,1,0,435.46,3.68,2,6,103.27,7.082,82.81,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1cc(C2CC2)c2c(C#N)c[nH]c2n1,5.162,0.248,6881.55,low,0.3255497619587395,0.5488721804511277,0.43721097120493363
phase2_7CIL_LIG_146851006,7CIL_LIG,-7.97,2,0,310.37,2.7,3,7,107.24,7.076,84.02,CNc1nc(Nc2cn(C(C)C)nc2C)nc2[nH]cc(C#N)c12,4.731,0.177,18561.33,moderate,0.6551802312400816,0.29959514170040474,0.4773876864702432
phase2_7CIL_LIG_155022217,7CIL_LIG,-7.976,2,0,310.37,2.7,3,7,107.24,7.039,91.34,CNc1nc(Nc2cnn(C(C)C)c2C)nc2[nH]cc(C#N)c12,4.656,0.173,22089.28,moderate,0.6538199954658807,0.2562174667437823,0.4550187311048315
