cid,seed,smiles,sdf_file,conformer,MW,LogP,HBD,HBA,TPSA,RotBonds,HeavyAtoms,Rings,AromaticRings
4472,seed_0,C1=CC=C(C=C1)CNC(=O)CCNNC(=O)C2=CC=NC=C2,kinase_domain/data/phase2b/raw/phase2b_seed_0_4472.sdf,3d,298.35,1.02,3,4,83.12,7,22,2,2
10096344,seed_0,CC#CCN1C2=C(N=C1N3CCCC(C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C,kinase_domain/data/phase2b/raw/phase2b_seed_0_10096344.sdf,3d,472.55,1.15,1,10,116.86,4,35,5,4
5329102,seed_0,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,kinase_domain/data/phase2b/raw/phase2b_seed_0_5329102.sdf,3d,398.48,3.33,3,3,77.23,7,29,3,2
3114,seed_0,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,kinase_domain/data/phase2b/raw/phase2b_seed_0_3114.sdf,3d,339.48,3.36,1,3,59.22,8,25,2,2
3478,seed_0,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,kinase_domain/data/phase2b/raw/phase2b_seed_0_3478.sdf,3d,445.55,2.08,3,6,130.15,7,31,3,2
5291,seed_0,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,kinase_domain/data/phase2b/raw/phase2b_seed_0_5291.sdf,3d,493.62,4.59,2,7,86.28,7,37,5,4
11625818,seed_0,CCC(C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,kinase_domain/data/phase2b/raw/phase2b_seed_0_11625818.sdf,3d,415.43,3.75,2,7,101.38,5,31,5,5
107867,seed_0,CCN(CC)CC1CCCCN1CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4,kinase_domain/data/phase2b/raw/phase2b_seed_0_107867.sdf,3d,421.55,3.51,1,5,68.78,6,31,4,2
5330286,seed_0,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,kinase_domain/data/phase2b/raw/phase2b_seed_0_5330286.sdf,3d,447.54,2.97,2,9,105.04,5,33,5,3
4848,seed_0,CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4,kinase_domain/data/phase2b/raw/phase2b_seed_0_4848.sdf,3d,351.41,1.56,1,5,68.78,2,26,4,2
9865515,seed_0,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC3=NC=CC(=N3)C4=CN=CC=C4,kinase_domain/data/phase2b/raw/phase2b_seed_0_9865515.sdf,3d,396.45,3.99,3,6,105.82,6,30,4,4
24958200,seed_0,C1CC(CNC1)C2=CC=C(C=C2)N3C=C4C=CC=C(C4=N3)C(=O)N,kinase_domain/data/phase2b/raw/phase2b_seed_0_24958200.sdf,3d,320.4,2.59,2,4,72.94,3,24,4,3
71226662,seed_0,CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,kinase_domain/data/phase2b/raw/phase2b_seed_0_71226662.sdf,3d,465.52,3.31,2,7,118.51,4,35,5,4
11610526,seed_0,CN1CCC(CC1)C(=O)C2=NC(=CC=C2)NC(=O)C3=C(C=C(C=C3F)F)F,kinase_domain/data/phase2b/raw/phase2b_seed_0_11610526.sdf,3d,377.37,3.28,1,4,62.3,4,27,3,2
24872560,seed_0,CNC(=O)C1=C(C=C(C=C1)N2C(=S)N(C(=O)C23CCC3)C4=CC(=C(N=C4)C#N)C(F)(F)F)F,kinase_domain/data/phase2b/raw/phase2b_seed_0_24872560.sdf,3d,477.44,3.53,1,5,89.33,3,33,4,2
2099,seed_0,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,kinase_domain/data/phase2b/raw/phase2b_seed_0_2099.sdf,3d,294.36,2.41,1,3,53.92,2,22,4,3
4261,seed_0,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,kinase_domain/data/phase2b/raw/phase2b_seed_0_4261.sdf,3d,376.42,3.34,3,5,106.34,6,28,3,3
10341154,seed_0,C1=CC(=C(C(=C1)F)N(C2=NC(=C(C=C2)C(=O)N)C3=C(C=C(C=C3)F)F)C(=O)N)F,kinase_domain/data/phase2b/raw/phase2b_seed_0_10341154.sdf,3d,404.32,3.62,2,3,102.31,4,29,3,3
11667893,seed_0,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C,kinase_domain/data/phase2b/raw/phase2b_seed_0_11667893.sdf,3d,373.46,4.04,3,5,78.94,5,28,4,3
60758,seed_0,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C.Cl,kinase_domain/data/phase2b/raw/phase2b_seed_0_60758.sdf,2d,330.82,2.83,1,3,53.92,2,23,4,3
443375,seed_0,CN1C2=CC=CC=C2C(=NC(C1=O)NC(=O)C3=CC4=CC=CC=C4N3)C5=CC=CC=C5,kinase_domain/data/phase2b/raw/phase2b_seed_0_443375.sdf,3d,408.46,3.74,2,3,77.56,3,31,5,4
25062766,seed_0,C1COCCN1C2=CC=C(C=C2)NC3=NC=CC(=N3)C4=CC=C(C=C4)C(=O)NCC#N,kinase_domain/data/phase2b/raw/phase2b_seed_0_25062766.sdf,3d,414.47,2.98,2,7,103.17,6,31,4,3
44631912,seed_0,CN(C)C(=O)C1=CC2=CN=C(N=C2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5,kinase_domain/data/phase2b/raw/phase2b_seed_0_44631912.sdf,3d,434.55,2.8,2,8,91.21,5,32,5,3
