ligand,hbond_total,hbond_pdon,hbond_ldon,hydrophobic,pi_stack,salt_bridge,water_bridge,hinge_residues,hbond_details,is_hinge_binder,MW,LogP,HBD,HBA,TPSA,RotBonds,SA_score,SA_class,PAINS,Brenk_alert,ro5_violations,passes_local,smiles,passes_admet,affinity_kcal,pIC50_gnn,pIC50_gnn_std,IC50_gnn_nM,gnn_confidence,vina_norm,pIC50_norm,combined_score_gnn
phase2b_seed_2_454730,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.61a=110.5,True,474.49,3.85,3,5,93.36,5,2.615,easy,False,False,0,True,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NC(=O)C(F)(F)F)ccc3[nH]2)CC1,True,-8.8,4.909,0.288,12336.64,low,0.4473684210526314,0.13015601624278694,0.2887622186477092
phase2b_seed_2_49872646,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.32a=162.2 | GLU603(ldon)d=3.78a=123.3 | GLY605(ldon)d=2.80a=132.0 | GLY605(ldon)d=3.31a=114.9,True,496.55,3.5,3,8,132.85,5,3.308,moderate,False,False,0,True,C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(C(=O)N2CCNCC2)c1-c1ccccc1,True,-8.8,5.487,0.366,3256.0,low,0.4473684210526314,0.25368668518914306,0.35052755312088724
phase2b_seed_2_53329353,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.92a=152.1,True,462.52,4.69,2,8,110.51,6,2.839,easy,False,False,0,True,Cn1nc(-c2ccc3ccccc3n2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,True,-8.8,6.033,0.123,925.92,moderate,0.4473684210526314,0.37037828595853833,0.40887335350558485
phase2b_seed_2_53346507,6,1,5,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.10a=168.9 | GLU603(ldon)d=3.04a=121.1 | GLY605(ldon)d=2.95a=151.0 | GLY605(ldon)d=3.07a=121.9 | GLY605(ldon)d=3.02a=120.5 | GLY605(ldon)d=3.13a=122.0,True,292.34,2.97,2,5,94.89,2,2.214,easy,False,False,0,True,CC(=O)c1cccc(-c2cc3nc(N)nc(N)c3cc2C)c1,True,-8.8,4.841,0.284,14405.44,low,0.4473684210526314,0.11562299636674513,0.28149570870968826
phase2b_seed_4_59455648,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.32a=151.1 | GLU603(ldon)d=3.48a=106.5 | GLY605(ldon)d=2.95a=124.7 | GLY605(ldon)d=4.00a=101.7 | GLY605(ldon)d=3.24a=132.6,True,431.47,2.63,3,7,104.37,4,3.407,moderate,False,False,0,True,N[C@@H]1CN(c2ccncc2NC(=O)c2csc(-c3c(F)cccc3F)n2)CC[C@H]1O,True,-8.8,7.525,0.184,29.85,moderate,0.4473684210526314,0.6892498397093398,0.5683091303809856
phase2b_seed_4_121333500,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.41a=155.7 | GLU603(ldon)d=3.72a=128.7 | GLY605(ldon)d=3.66a=121.8,True,428.44,2.95,2,6,86.0,3,3.52,moderate,False,False,0,True,O=C(Nc1cnn2ccc(N3CCC[C@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1,True,-8.7,5.289,0.283,5143.96,low,0.473684210526316,0.2113699508441975,0.3425270806852567
phase2b_seed_4_121408882,6,1,5,0,0,0,0,[605],GLY605(pdon)d=3.23a=162.6 | GLY605(ldon)d=3.13a=125.5 | GLY605(ldon)d=3.01a=105.2 | GLY605(ldon)d=3.19a=125.6 | GLY605(ldon)d=2.94a=109.5 | GLY605(ldon)d=3.03a=127.9,True,453.57,2.71,1,9,88.41,6,3.222,moderate,False,False,0,True,Cn1nccc1Nc1nccc(-c2cc3c(s2)C(C)(C)N(CCN2CCOCC2)C3=O)n1,True,-8.7,5.11,0.141,7762.69,moderate,0.473684210526316,0.17311391322932262,0.3233990618778193
phase2b_seed_4_46188928,1,1,0,0,0,0,0,[605],GLY605(pdon)d=4.01a=145.8,True,428.44,2.95,2,6,86.0,3,3.52,moderate,False,False,0,True,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1,True,-8.7,5.154,0.236,7011.4,low,0.473684210526316,0.18251763197264378,0.32810092124947987
phase2b_seed_4_86713879,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.44a=160.0 | GLY605(ldon)d=4.06a=124.2 | GLU603(ldon)d=4.09a=106.2 | GLU603(ldon)d=3.47a=135.6,True,460.51,3.15,3,8,121.08,4,4.947,moderate,False,False,0,True,Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1[C@]12CC[C@H](O1)[C@@H](N)CC2,True,-8.7,7.861,0.196,13.78,moderate,0.473684210526316,0.7610600555674291,0.6173721330468726
phase2b_seed_4_135886489,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.75a=156.8,True,411.48,2.85,1,6,76.04,4,3.542,moderate,False,False,0,True,C[C@@H]1CN(Cc2ccc(F)cc2)C[C@H]1c1nc2c(cnn2C2CCOCC2)c(=O)[nH]1,True,-8.7,5.98,0.837,1047.34,low,0.473684210526316,0.35905107929044683,0.4163676449083814
