ligand,affinity_kcal,hbond_total,hbond_pdon,hbond_ldon,hydrophobic,pi_stack,salt_bridge,water_bridge,hinge_residues,hbond_details,is_hinge_binder
phase2b_seed_2_25218593,-8.8,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.50a=158.2 | GLY605(ldon)d=3.00a=113.9 | GLY605(ldon)d=3.89a=152.2,True
phase2b_seed_2_9908783,-8.8,0,0,0,0,0,0,0,[],,False
phase2b_seed_0_25062766,-8.8,4,1,3,0,0,0,0,[605],GLY605(pdon)d=3.13a=165.5 | GLY605(ldon)d=3.05a=115.7 | GLY605(ldon)d=3.03a=147.2 | GLY605(ldon)d=3.05a=131.1,True
phase2b_seed_2_454730,-8.8,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.61a=110.5,True
phase2b_seed_2_49872646,-8.8,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.32a=162.2 | GLU603(ldon)d=3.78a=123.3 | GLY605(ldon)d=2.80a=132.0 | GLY605(ldon)d=3.31a=114.9,True
phase2b_seed_2_53329353,-8.8,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.92a=152.1,True
phase2b_seed_2_53346507,-8.8,6,1,5,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.10a=168.9 | GLU603(ldon)d=3.04a=121.1 | GLY605(ldon)d=2.95a=151.0 | GLY605(ldon)d=3.07a=121.9 | GLY605(ldon)d=3.02a=120.5 | GLY605(ldon)d=3.13a=122.0,True
phase2b_seed_4_59455648,-8.8,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.32a=151.1 | GLU603(ldon)d=3.48a=106.5 | GLY605(ldon)d=2.95a=124.7 | GLY605(ldon)d=4.00a=101.7 | GLY605(ldon)d=3.24a=132.6,True
phase2b_seed_1_57662985,-8.7,3,1,2,0,0,0,0,[605],GLY605(pdon)d=4.03a=154.0 | GLY605(ldon)d=3.07a=136.2 | GLY605(ldon)d=3.79a=112.6,True
phase2b_seed_0_51358113,-8.7,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.73a=157.0 | GLU603(ldon)d=3.87a=108.9 | GLU603(ldon)d=3.03a=101.8 | GLY605(ldon)d=3.44a=120.3,True
phase2b_seed_4_121333500,-8.7,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.41a=155.7 | GLU603(ldon)d=3.72a=128.7 | GLY605(ldon)d=3.66a=121.8,True
phase2b_seed_3_9934283,-8.7,3,0,3,0,0,0,0,"[603, 605]",GLU603(ldon)d=4.01a=128.9 | GLU603(ldon)d=3.57a=112.8 | GLY605(ldon)d=2.78a=149.9,True
phase2b_seed_3_16718576,-8.7,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.43a=156.3,True
phase2b_seed_4_121408882,-8.7,6,1,5,0,0,0,0,[605],GLY605(pdon)d=3.23a=162.6 | GLY605(ldon)d=3.13a=125.5 | GLY605(ldon)d=3.01a=105.2 | GLY605(ldon)d=3.19a=125.6 | GLY605(ldon)d=2.94a=109.5 | GLY605(ldon)d=3.03a=127.9,True
phase2b_seed_4_46188928,-8.7,1,1,0,0,0,0,0,[605],GLY605(pdon)d=4.01a=145.8,True
phase2b_seed_1_44370579,-8.7,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_86713879,-8.7,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.44a=160.0 | GLY605(ldon)d=4.06a=124.2 | GLU603(ldon)d=4.09a=106.2 | GLU603(ldon)d=3.47a=135.6,True
phase2b_seed_4_135886489,-8.7,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.75a=156.8,True
phase2b_seed_0_11167112,-8.7,2,0,2,0,0,0,0,[605],GLY605(ldon)d=3.03a=112.6 | GLY605(ldon)d=3.04a=145.5,True
phase2b_seed_4_44217530,-8.7,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.21a=166.8 | GLY605(ldon)d=2.94a=117.9 | GLY605(ldon)d=3.38a=127.4,True
phase2b_seed_1_52934180,-8.7,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.38a=133.9,True
phase2b_seed_4_90072314,-8.6,4,0,4,0,0,0,0,"[603, 605]",GLU603(ldon)d=3.23a=117.2 | GLU603(ldon)d=3.78a=155.5 | GLY605(ldon)d=4.09a=134.4 | GLY605(ldon)d=3.13a=132.4,True
phase2b_seed_0_11569967,-8.6,4,1,3,0,0,0,0,[605],GLY605(pdon)d=3.37a=165.6 | GLY605(ldon)d=3.70a=168.1 | GLY605(ldon)d=3.08a=116.8 | GLY605(ldon)d=3.37a=126.8,True
phase2b_seed_1_2403,-8.6,1,0,1,0,0,0,0,[605],GLY605(ldon)d=2.97a=113.7,True
phase2b_seed_4_45482952,-8.6,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.98a=110.5,True
phase2b_seed_2_65906,-8.6,0,0,0,0,0,0,0,[],,False
phase2b_seed_2_57378228,-8.6,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_53469619,-8.6,2,0,2,0,0,0,0,"[603, 605]",GLU603(ldon)d=4.03a=119.5 | GLY605(ldon)d=3.30a=158.7,True
phase2b_seed_2_132016492,-8.6,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.25a=157.5 | GLY605(ldon)d=3.02a=126.7,True
phase2b_seed_2_720149,-8.6,7,1,6,0,0,0,0,[605],GLY605(pdon)d=3.37a=156.9 | GLY605(ldon)d=3.23a=123.9 | GLY605(ldon)d=3.50a=116.1 | GLY605(ldon)d=3.33a=125.1 | GLY605(ldon)d=3.22a=156.5 | GLY605(ldon)d=3.21a=106.8 | GLY605(ldon)d=3.51a=113.0,True
phase2b_seed_2_44483163,-8.6,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.21a=149.2 | GLY605(ldon)d=3.19a=121.9,True
