ligand,best_score,mean_score,std_score,n_receptors,n_good,consensus_x,score_5AP7,best_cnn,mean_cnn,best_vina,consensus_y,final_score,score_source
phase2b_seed_2_25218593,-8.8,-8.8,0.0,1,1,False,-8.8,,,,,-8.8,smina
phase2b_seed_2_9908783,-8.8,-8.8,0.0,1,1,False,-8.8,,,,,-8.8,smina
phase2b_seed_0_25062766,-8.8,-8.8,0.0,1,1,False,-8.8,,,,,-8.8,smina
phase2b_seed_2_454730,-8.8,-8.8,0.0,1,1,False,-8.8,,,,,-8.8,smina
phase2b_seed_2_49872646,-8.8,-8.8,0.0,1,1,False,-8.8,,,,,-8.8,smina
phase2b_seed_2_53329353,-8.8,-8.8,0.0,1,1,False,-8.8,,,,,-8.8,smina
phase2b_seed_2_53346507,-8.8,-8.8,0.0,1,1,False,-8.8,,,,,-8.8,smina
phase2b_seed_4_59455648,-8.8,-8.8,0.0,1,1,False,-8.8,,,,,-8.8,smina
phase2b_seed_1_57662985,-8.7,-8.7,0.0,1,1,False,-8.7,,,,,-8.7,smina
phase2b_seed_0_51358113,-8.7,-8.7,0.0,1,1,False,-8.7,,,,,-8.7,smina
phase2b_seed_4_121333500,-8.7,-8.7,0.0,1,1,False,-8.7,,,,,-8.7,smina
phase2b_seed_3_9934283,-8.7,-8.7,0.0,1,1,False,-8.7,,,,,-8.7,smina
phase2b_seed_3_16718576,-8.7,-8.7,0.0,1,1,False,-8.7,,,,,-8.7,smina
phase2b_seed_4_121408882,-8.7,-8.7,0.0,1,1,False,-8.7,,,,,-8.7,smina
phase2b_seed_4_46188928,-8.7,-8.7,0.0,1,1,False,-8.7,,,,,-8.7,smina
phase2b_seed_1_44370579,-8.7,-8.7,0.0,1,1,False,-8.7,,,,,-8.7,smina
phase2b_seed_4_86713879,-8.7,-8.7,0.0,1,1,False,-8.7,,,,,-8.7,smina
phase2b_seed_4_135886489,-8.7,-8.7,0.0,1,1,False,-8.7,,,,,-8.7,smina
phase2b_seed_0_11167112,-8.7,-8.7,0.0,1,1,False,-8.7,,,,,-8.7,smina
phase2b_seed_4_44217530,-8.7,-8.7,0.0,1,1,False,-8.7,,,,,-8.7,smina
phase2b_seed_1_52934180,-8.7,-8.7,0.0,1,1,False,-8.7,,,,,-8.7,smina
