ligand,best_vina,mean_vina,best_cnn,mean_cnn,n_receptors,consensus,vina_5AP7,cnn_5AP7,vina_5AP6,cnn_5AP6,vina_3CEK,cnn_3CEK
phase2b_seed_4_25260758,-8.59,-7.017,0.154,0.289,3,False,-6.22,0.2985,-6.24,0.1539,-8.59,0.4144
phase2b_seed_2_138578805,-8.18,-8.153,0.183,0.317,3,True,-8.18,0.1826,-8.12,0.5648,-8.16,0.2046
phase2b_seed_4_71288682,-9.25,-8.687,0.216,0.259,3,True,-8.88,0.3096,-9.25,0.2156,-7.93,0.2513
phase2b_seed_1_25262792,-9.0,-7.167,0.216,0.28,3,True,-9.0,0.3776,-5.35,0.2165,-7.15,0.2446
phase2b_seed_1_163557606,-7.82,-7.537,0.232,0.396,3,True,-7.54,0.2315,-7.82,0.3689,-7.25,0.5868
phase2b_seed_1_71245288,-8.79,-7.873,0.259,0.44,3,True,-8.79,0.2585,-8.05,0.5311,-6.78,0.5304
phase2b_seed_0_9939865,-8.89,-6.487,0.265,0.333,3,False,-8.89,0.4576,-4.7,0.2762,-5.87,0.2653
phase2b_seed_0_5330286,-10.59,-9.44,0.276,0.743,3,True,-9.22,0.2755,-10.59,0.9822,-8.51,0.9704
phase2b_seed_0_60195662,-7.44,-7.39,0.279,0.543,3,True,-7.37,0.7873,-7.36,0.5628,-7.44,0.2793
phase2b_seed_2_25138148,-9.93,-8.413,0.288,0.337,3,True,-7.84,0.2878,-9.93,0.4312,-7.47,0.2929
phase2b_seed_1_59215954,-8.38,-7.583,0.305,0.499,3,True,-8.38,0.8189,-8.07,0.3741,-6.3,0.3049
phase2b_seed_2_25195091,-8.85,-8.177,0.308,0.43,3,True,-8.85,0.6032,-7.94,0.3077,-7.74,0.3785
phase2b_seed_2_11676119,-9.26,-8.89,0.312,0.474,3,True,-9.26,0.3123,-9.21,0.6386,-8.2,0.4704
phase2b_seed_2_11625929,-9.61,-8.013,0.328,0.41,3,True,-7.07,0.3869,-9.61,0.3276,-7.36,0.5162
phase2b_seed_0_49843471,-9.57,-8.32,0.336,0.42,3,True,-8.23,0.4995,-9.57,0.3361,-7.16,0.4255
phase2b_seed_2_15991573,-9.79,-8.8,0.338,0.419,3,True,-9.79,0.3375,-8.95,0.346,-7.66,0.5726
phase2b_seed_2_16086088,-9.92,-9.053,0.339,0.489,3,True,-9.5,0.3982,-9.92,0.3393,-7.74,0.7285
phase2b_seed_4_129136448,-8.74,-7.683,0.341,0.559,3,True,-8.74,0.8669,-7.3,0.4696,-7.01,0.3411
phase2b_seed_1_118480924,-7.8,-6.863,0.346,0.425,3,False,-6.61,0.3465,-6.18,0.4704,-7.8,0.4592
phase2b_seed_2_23644671,-9.34,-8.323,0.367,0.556,3,True,-8.23,0.367,-9.34,0.8165,-7.4,0.4852
phase2b_seed_2_18549509,-8.68,-7.94,0.37,0.549,3,True,-8.25,0.4199,-8.68,0.8562,-6.89,0.3702
phase2b_seed_0_9919680,-10.09,-9.37,0.376,0.697,3,True,-10.09,0.8415,-9.25,0.3758,-8.77,0.8733
