ligand,mps1_score,aurora_score,score_diff,selective,mps1_pIC50,aurora_pIC50,herg_pIC50,SI_multitask,herg_risk
phase2b_seed_4_59455648,-8.8,-6.336,2.464,True,8.151,6.079,5.533,118.08,moderate
phase2b_seed_4_44217530,-8.7,-6.268,2.432,True,8.431,6.255,5.789,149.84,moderate
phase2b_seed_4_44199470,-8.3,-6.197,2.103,True,9.228,6.098,5.802,1352.53,moderate
phase2b_seed_4_90072314,-8.6,-6.654,1.946,False,8.808,5.759,5.202,1116.54,moderate
phase2b_seed_4_66555847,-8.9,-7.138,1.762,False,8.87,6.439,6.037,269.57,high
phase2b_seed_4_53482276,-8.4,-6.845,1.555,False,7.315,6.372,5.141,8.77,moderate
phase2b_seed_4_53482332,-8.3,-6.751,1.549,False,8.29,6.238,5.511,112.69,moderate
phase2b_seed_4_86713879,-8.7,-7.154,1.546,False,8.587,6.124,5.419,290.2,moderate
phase2b_seed_4_51002052,-8.0,-6.714,1.286,False,8.056,6.274,5.562,60.54,moderate
phase2b_seed_4_71262654,-7.6,-6.727,0.873,False,7.686,6.305,5.546,24.04,moderate
