ligand,affinity_kcal
zinc_div_0277,-8.94
zinc_div_0276,-8.84
zinc_div_0357,-8.68
zinc_div_0555,-8.66
zinc_div_0310,-8.43
zinc_div_0300,-8.36
zinc_div_0340,-8.35
zinc_div_0325,-8.32
zinc_div_0866,-8.26
zinc_div_0331,-8.24
zinc_div_0100,-8.19
zinc_div_0295,-8.18
zinc_div_0840,-8.16
zinc_div_0352,-8.15
zinc_div_0967,-8.14
zinc_div_0374,-8.11
zinc_div_0731,-8.06
zinc_div_0389,-8.05
zinc_div_0622,-8.04
zinc_div_0303,-8.04
zinc_div_0288,-8.04
zinc_div_0267,-8.03
zinc_div_0607,-7.98
zinc_div_0845,-7.98
zinc_div_0572,-7.93
zinc_div_0968,-7.93
zinc_div_0351,-7.92
zinc_div_0315,-7.92
zinc_div_0637,-7.92
zinc_div_0558,-7.92
zinc_div_0274,-7.91
zinc_div_0880,-7.91
zinc_div_0920,-7.9
zinc_div_0733,-7.89
zinc_div_0376,-7.88
zinc_div_0678,-7.86
zinc_div_0301,-7.86
zinc_div_0441,-7.86
zinc_div_0403,-7.86
zinc_div_0322,-7.81
zinc_div_0359,-7.81
zinc_div_0711,-7.8
zinc_div_0384,-7.79
zinc_div_0148,-7.78
zinc_div_0268,-7.77
zinc_div_0602,-7.76
zinc_div_0343,-7.75
zinc_div_0280,-7.75
zinc_div_0160,-7.75
zinc_div_0807,-7.74
zinc_div_0400,-7.74
zinc_div_0808,-7.74
zinc_div_0251,-7.74
zinc_div_0962,-7.73
zinc_div_0665,-7.73
zinc_div_0130,-7.73
zinc_div_0849,-7.72
zinc_div_0758,-7.72
zinc_div_0271,-7.72
zinc_div_0996,-7.71
zinc_div_0278,-7.7
zinc_div_0820,-7.7
zinc_div_0385,-7.7
zinc_div_0451,-7.68
zinc_div_0297,-7.68
zinc_div_0039,-7.67
zinc_div_0856,-7.66
zinc_div_0870,-7.66
zinc_div_0887,-7.65
zinc_div_0121,-7.65
zinc_div_0373,-7.64
zinc_div_0298,-7.63
zinc_div_0034,-7.63
zinc_div_0680,-7.63
zinc_div_0976,-7.62
zinc_div_0494,-7.61
zinc_div_0366,-7.6
zinc_div_0474,-7.6
zinc_div_0395,-7.6
zinc_div_0943,-7.59
zinc_div_0345,-7.59
zinc_div_0844,-7.58
zinc_div_0397,-7.58
zinc_div_0176,-7.58
zinc_div_0956,-7.58
zinc_div_0324,-7.57
zinc_div_0316,-7.57
zinc_div_0232,-7.57
zinc_div_0588,-7.57
zinc_div_0977,-7.56
zinc_div_0671,-7.56
zinc_div_0368,-7.56
zinc_div_0341,-7.56
zinc_div_0282,-7.55
zinc_div_0281,-7.55
zinc_div_0001,-7.54
zinc_div_0270,-7.53
zinc_div_0175,-7.52
zinc_div_0283,-7.52
zinc_div_0158,-7.51
zinc_div_0318,-7.5
zinc_div_0266,-7.5
zinc_div_0963,-7.49
zinc_div_0908,-7.48
zinc_div_0327,-7.48
zinc_div_0320,-7.47
zinc_div_0592,-7.47
zinc_div_0514,-7.47
zinc_div_0582,-7.46
zinc_div_0944,-7.46
zinc_div_0289,-7.45
zinc_div_0683,-7.45
zinc_div_0228,-7.45
zinc_div_0547,-7.44
zinc_div_0597,-7.43
zinc_div_0370,-7.43
zinc_div_0826,-7.42
zinc_div_0380,-7.42
zinc_div_0263,-7.42
zinc_div_0971,-7.42
zinc_div_0902,-7.42
zinc_div_0790,-7.42
zinc_div_0521,-7.41
zinc_div_0668,-7.41
zinc_div_0634,-7.41
zinc_div_0978,-7.4
zinc_div_0299,-7.4
zinc_div_0991,-7.39
zinc_div_0894,-7.38
zinc_div_0838,-7.38
zinc_div_0578,-7.38
zinc_div_0580,-7.38
zinc_div_0253,-7.37
zinc_div_0170,-7.37
zinc_div_0949,-7.37
zinc_div_0909,-7.36
zinc_div_0812,-7.36
zinc_div_0355,-7.36
zinc_div_0287,-7.35
zinc_div_0658,-7.35
zinc_div_0829,-7.34
zinc_div_0293,-7.34
zinc_div_0950,-7.34
zinc_div_0275,-7.34
zinc_div_0307,-7.34
zinc_div_0159,-7.33
zinc_div_0203,-7.33
zinc_div_0344,-7.32
zinc_div_0809,-7.32
zinc_div_0664,-7.32
zinc_div_0986,-7.31
zinc_div_0831,-7.31
zinc_div_0871,-7.3
zinc_div_0804,-7.3
zinc_div_0309,-7.3
zinc_div_0231,-7.29
zinc_div_0624,-7.29
zinc_div_0319,-7.29
zinc_div_0898,-7.29
zinc_div_0346,-7.28
zinc_div_0688,-7.28
zinc_div_0938,-7.28
zinc_div_0272,-7.28
zinc_div_0571,-7.27
zinc_div_0273,-7.27
zinc_div_0286,-7.26
zinc_div_0906,-7.26
zinc_div_0043,-7.26
zinc_div_0759,-7.26
zinc_div_0973,-7.25
zinc_div_0694,-7.25
zinc_div_0095,-7.24
zinc_div_0438,-7.24
zinc_div_0202,-7.24
zinc_div_0961,-7.23
zinc_div_0989,-7.23
zinc_div_0234,-7.22
zinc_div_0773,-7.22
zinc_div_0358,-7.22
zinc_div_0440,-7.22
zinc_div_0564,-7.21
zinc_div_0990,-7.21
zinc_div_0338,-7.21
zinc_div_0893,-7.21
zinc_div_0784,-7.2
zinc_div_0041,-7.2
zinc_div_0006,-7.2
zinc_div_0433,-7.2
zinc_div_0379,-7.19
zinc_div_0542,-7.19
zinc_div_0347,-7.19
zinc_div_0342,-7.19
zinc_div_0969,-7.18
zinc_div_0869,-7.17
zinc_div_0396,-7.17
zinc_div_0570,-7.17
zinc_div_0828,-7.16
zinc_div_0662,-7.16
zinc_div_0793,-7.16
zinc_div_0386,-7.16
zinc_div_0818,-7.15
zinc_div_0974,-7.15
zinc_div_0264,-7.14
zinc_div_0663,-7.14
zinc_div_0980,-7.14
zinc_div_0972,-7.14
zinc_div_0964,-7.13
zinc_div_0911,-7.13
zinc_div_0443,-7.13
zinc_div_0641,-7.13
zinc_div_0859,-7.13
zinc_div_0724,-7.12
zinc_div_0154,-7.12
zinc_div_0548,-7.12
zinc_div_0669,-7.12
zinc_div_0899,-7.12
zinc_div_0643,-7.12
zinc_div_0311,-7.12
zinc_div_0822,-7.12
zinc_div_0966,-7.12
zinc_div_0594,-7.11
zinc_div_0439,-7.11
zinc_div_0833,-7.11
zinc_div_0581,-7.11
zinc_div_0830,-7.1
zinc_div_0218,-7.1
zinc_div_0656,-7.1
zinc_div_0279,-7.1
zinc_div_0457,-7.1
zinc_div_0613,-7.1
zinc_div_0313,-7.1
zinc_div_0606,-7.09
zinc_div_0682,-7.09
zinc_div_0601,-7.09
zinc_div_0573,-7.09
zinc_div_0979,-7.09
zinc_div_0424,-7.08
zinc_div_0161,-7.08
zinc_div_0312,-7.08
zinc_div_0864,-7.08
zinc_div_0566,-7.08
zinc_div_0482,-7.07
zinc_div_0718,-7.07
zinc_div_0569,-7.06
zinc_div_0478,-7.06
zinc_div_0623,-7.05
zinc_div_0162,-7.05
zinc_div_0590,-7.05
zinc_div_0819,-7.05
zinc_div_0583,-7.04
zinc_div_0308,-7.04
zinc_div_0712,-7.04
zinc_div_0644,-7.04
zinc_div_0704,-7.03
zinc_div_0618,-7.03
zinc_div_0472,-7.03
zinc_div_0611,-7.02
zinc_div_0349,-7.02
zinc_div_0576,-7.02
zinc_div_0596,-7.02
zinc_div_0633,-7.02
zinc_div_0815,-7.02
zinc_div_0941,-7.01
zinc_div_0791,-7.0
zinc_div_0701,-6.99
zinc_div_0205,-6.99
zinc_div_0687,-6.99
zinc_div_0905,-6.99
zinc_div_0577,-6.99
zinc_div_0686,-6.98
zinc_div_0453,-6.97
zinc_div_0402,-6.97
zinc_div_0883,-6.96
zinc_div_0627,-6.96
zinc_div_0356,-6.96
zinc_div_0304,-6.96
zinc_div_0585,-6.96
zinc_div_0957,-6.96
zinc_div_0223,-6.95
zinc_div_0846,-6.95
zinc_div_0354,-6.95
zinc_div_0685,-6.93
zinc_div_0437,-6.93
zinc_div_0401,-6.92
zinc_div_0999,-6.92
zinc_div_0796,-6.92
zinc_div_0551,-6.91
zinc_div_0422,-6.91
zinc_div_0872,-6.9
zinc_div_0348,-6.9
zinc_div_0667,-6.9
zinc_div_0863,-6.9
zinc_div_0789,-6.9
zinc_div_0719,-6.89
zinc_div_0255,-6.89
zinc_div_0681,-6.89
zinc_div_0810,-6.88
zinc_div_0609,-6.88
zinc_div_0661,-6.88
zinc_div_0030,-6.88
zinc_div_0237,-6.87
zinc_div_0640,-6.87
zinc_div_0676,-6.86
zinc_div_0842,-6.86
zinc_div_0816,-6.86
zinc_div_0645,-6.86
zinc_div_0181,-6.85
zinc_div_0420,-6.85
zinc_div_0693,-6.84
zinc_div_0723,-6.84
zinc_div_0639,-6.84
zinc_div_0690,-6.84
zinc_div_0955,-6.83
zinc_div_0026,-6.83
zinc_div_0256,-6.83
zinc_div_0659,-6.82
zinc_div_0813,-6.81
zinc_div_0792,-6.81
zinc_div_0710,-6.81
zinc_div_0123,-6.8
zinc_div_0302,-6.8
zinc_div_0610,-6.8
zinc_div_0794,-6.8
zinc_div_0487,-6.79
zinc_div_0766,-6.79
zinc_div_0684,-6.79
zinc_div_0702,-6.78
zinc_div_0940,-6.78
zinc_div_0629,-6.78
zinc_div_0517,-6.78
zinc_div_0649,-6.77
zinc_div_0834,-6.77
zinc_div_0805,-6.76
zinc_div_0511,-6.76
zinc_div_0575,-6.76
zinc_div_0591,-6.75
zinc_div_0429,-6.74
zinc_div_0692,-6.74
zinc_div_0652,-6.74
zinc_div_0605,-6.74
zinc_div_0240,-6.73
zinc_div_0364,-6.73
zinc_div_0945,-6.73
zinc_div_0603,-6.72
zinc_div_0970,-6.71
zinc_div_0257,-6.7
zinc_div_0811,-6.7
zinc_div_0997,-6.7
zinc_div_0738,-6.7
zinc_div_0948,-6.69
zinc_div_0328,-6.69
zinc_div_0994,-6.69
zinc_div_0442,-6.68
zinc_div_0655,-6.68
zinc_div_0449,-6.68
zinc_div_0559,-6.68
zinc_div_0595,-6.67
zinc_div_0445,-6.67
zinc_div_0937,-6.67
zinc_div_0390,-6.67
zinc_div_0777,-6.67
zinc_div_0604,-6.66
zinc_div_0814,-6.66
zinc_div_0987,-6.66
zinc_div_0459,-6.66
zinc_div_0009,-6.66
zinc_div_0411,-6.65
zinc_div_0800,-6.65
zinc_div_0932,-6.64
zinc_div_0259,-6.64
zinc_div_0247,-6.63
zinc_div_0388,-6.63
zinc_div_0466,-6.63
zinc_div_0488,-6.63
zinc_div_0002,-6.62
zinc_div_0019,-6.62
zinc_div_0431,-6.62
zinc_div_0460,-6.62
zinc_div_0730,-6.62
zinc_div_0296,-6.61
zinc_div_0391,-6.61
zinc_div_0720,-6.61
zinc_div_0207,-6.61
zinc_div_0706,-6.6
zinc_div_0526,-6.6
zinc_div_0650,-6.6
zinc_div_0998,-6.6
zinc_div_0146,-6.6
zinc_div_0200,-6.59
zinc_div_0691,-6.59
zinc_div_0715,-6.59
zinc_div_0984,-6.59
zinc_div_0430,-6.59
zinc_div_0549,-6.59
zinc_div_0383,-6.59
zinc_div_0020,-6.58
zinc_div_0483,-6.58
zinc_div_0697,-6.58
zinc_div_0675,-6.58
zinc_div_0503,-6.57
zinc_div_0947,-6.57
zinc_div_0648,-6.56
zinc_div_0367,-6.56
zinc_div_0625,-6.55
zinc_div_0492,-6.55
zinc_div_0626,-6.55
zinc_div_0891,-6.55
zinc_div_0007,-6.54
zinc_div_0600,-6.54
zinc_div_0229,-6.53
zinc_div_0550,-6.53
zinc_div_0426,-6.53
zinc_div_0392,-6.52
zinc_div_0504,-6.52
zinc_div_0951,-6.52
zinc_div_0785,-6.52
zinc_div_0965,-6.52
zinc_div_0428,-6.52
zinc_div_0025,-6.51
zinc_div_0713,-6.51
zinc_div_0689,-6.5
zinc_div_0617,-6.5
zinc_div_0423,-6.5
zinc_div_0152,-6.5
zinc_div_0018,-6.5
zinc_div_0748,-6.48
zinc_div_0292,-6.48
zinc_div_0406,-6.47
zinc_div_0153,-6.47
zinc_div_0705,-6.47
zinc_div_0877,-6.46
zinc_div_0565,-6.45
zinc_div_0985,-6.45
zinc_div_0646,-6.45
zinc_div_0432,-6.45
zinc_div_0620,-6.45
zinc_div_0933,-6.44
zinc_div_0802,-6.44
zinc_div_0608,-6.44
zinc_div_0599,-6.43
zinc_div_0393,-6.43
zinc_div_0674,-6.43
zinc_div_0806,-6.42
zinc_div_0781,-6.42
zinc_div_0520,-6.42
zinc_div_0421,-6.42
zinc_div_0425,-6.42
zinc_div_0476,-6.41
zinc_div_0946,-6.41
zinc_div_0698,-6.4
zinc_div_0619,-6.4
zinc_div_0769,-6.4
zinc_div_0836,-6.39
zinc_div_0003,-6.39
zinc_div_0767,-6.39
zinc_div_0012,-6.39
zinc_div_0017,-6.38
zinc_div_0000,-6.38
zinc_div_0143,-6.38
zinc_div_0841,-6.38
zinc_div_0008,-6.37
zinc_div_0982,-6.37
zinc_div_0541,-6.37
zinc_div_0860,-6.37
zinc_div_0568,-6.36
zinc_div_0023,-6.36
zinc_div_0470,-6.36
zinc_div_0016,-6.35
zinc_div_0489,-6.34
zinc_div_0556,-6.34
zinc_div_0404,-6.34
zinc_div_0868,-6.33
zinc_div_0952,-6.33
zinc_div_0166,-6.33
zinc_div_0586,-6.32
zinc_div_0435,-6.32
zinc_div_0696,-6.32
zinc_div_0212,-6.31
zinc_div_0960,-6.31
zinc_div_0853,-6.31
zinc_div_0022,-6.31
zinc_div_0249,-6.31
zinc_div_0243,-6.3
zinc_div_0469,-6.3
zinc_div_0530,-6.3
zinc_div_0942,-6.3
zinc_div_0326,-6.3
zinc_div_0233,-6.29
zinc_div_0434,-6.29
zinc_div_0907,-6.29
zinc_div_0415,-6.29
zinc_div_0721,-6.29
zinc_div_0116,-6.29
zinc_div_0638,-6.28
zinc_div_0031,-6.28
zinc_div_0545,-6.28
zinc_div_0215,-6.28
zinc_div_0204,-6.28
zinc_div_0543,-6.28
zinc_div_0500,-6.27
zinc_div_0953,-6.27
zinc_div_0703,-6.27
zinc_div_0210,-6.27
zinc_div_0714,-6.26
zinc_div_0060,-6.26
zinc_div_0040,-6.26
zinc_div_0579,-6.26
zinc_div_0360,-6.26
zinc_div_0537,-6.25
zinc_div_0416,-6.25
zinc_div_0465,-6.24
zinc_div_0486,-6.24
zinc_div_0258,-6.24
zinc_div_0768,-6.24
zinc_div_0900,-6.24
zinc_div_0141,-6.23
zinc_div_0265,-6.23
zinc_div_0450,-6.23
zinc_div_0027,-6.23
zinc_div_0086,-6.23
zinc_div_0137,-6.23
zinc_div_0444,-6.23
zinc_div_0552,-6.23
zinc_div_0825,-6.22
zinc_div_0983,-6.22
zinc_div_0717,-6.22
zinc_div_0882,-6.21
zinc_div_0752,-6.21
zinc_div_0029,-6.21
zinc_div_0236,-6.21
zinc_div_0011,-6.21
zinc_div_0628,-6.2
zinc_div_0028,-6.2
zinc_div_0194,-6.2
zinc_div_0992,-6.2
zinc_div_0462,-6.19
zinc_div_0935,-6.19
zinc_div_0044,-6.19
zinc_div_0414,-6.19
zinc_div_0630,-6.19
zinc_div_0636,-6.19
zinc_div_0798,-6.18
zinc_div_0772,-6.18
zinc_div_0142,-6.18
zinc_div_0498,-6.18
zinc_div_0382,-6.18
zinc_div_0914,-6.18
zinc_div_0915,-6.18
zinc_div_0235,-6.17
zinc_div_0102,-6.17
zinc_div_0862,-6.17
zinc_div_0407,-6.17
zinc_div_0546,-6.17
zinc_div_0021,-6.17
zinc_div_0490,-6.17
zinc_div_0032,-6.17
zinc_div_0913,-6.16
zinc_div_0408,-6.16
zinc_div_0239,-6.16
zinc_div_0757,-6.15
zinc_div_0291,-6.15
zinc_div_0427,-6.15
zinc_div_0635,-6.14
zinc_div_0743,-6.14
zinc_div_0699,-6.14
zinc_div_0418,-6.14
zinc_div_0642,-6.14
zinc_div_0010,-6.14
zinc_div_0959,-6.14
zinc_div_0067,-6.14
zinc_div_0127,-6.13
zinc_div_0912,-6.13
zinc_div_0835,-6.13
zinc_div_0305,-6.13
zinc_div_0463,-6.13
zinc_div_0201,-6.13
zinc_div_0847,-6.13
zinc_div_0471,-6.13
zinc_div_0507,-6.12
zinc_div_0447,-6.12
zinc_div_0528,-6.12
zinc_div_0087,-6.12
zinc_div_0995,-6.11
zinc_div_0801,-6.11
zinc_div_0679,-6.11
zinc_div_0145,-6.1
zinc_div_0708,-6.1
zinc_div_0725,-6.1
zinc_div_0458,-6.1
zinc_div_0475,-6.1
zinc_div_0417,-6.1
zinc_div_0446,-6.1
zinc_div_0013,-6.09
zinc_div_0015,-6.09
zinc_div_0563,-6.09
zinc_div_0749,-6.09
zinc_div_0532,-6.09
zinc_div_0241,-6.09
zinc_div_0527,-6.08
zinc_div_0314,-6.07
zinc_div_0222,-6.07
zinc_div_0554,-6.07
zinc_div_0211,-6.07
zinc_div_0653,-6.07
zinc_div_0923,-6.06
zinc_div_0927,-6.06
zinc_div_0930,-6.06
zinc_div_0035,-6.06
zinc_div_0410,-6.06
zinc_div_0495,-6.06
zinc_div_0502,-6.06
zinc_div_0922,-6.06
zinc_div_0165,-6.06
zinc_div_0896,-6.06
zinc_div_0761,-6.05
zinc_div_0363,-6.05
zinc_div_0362,-6.05
zinc_div_0993,-6.05
zinc_div_0783,-6.05
zinc_div_0726,-6.05
zinc_div_0187,-6.04
zinc_div_0762,-6.04
zinc_div_0339,-6.04
zinc_div_0584,-6.04
zinc_div_0751,-6.03
zinc_div_0736,-6.03
zinc_div_0934,-6.03
zinc_div_0419,-6.02
zinc_div_0372,-6.02
zinc_div_0614,-6.02
zinc_div_0918,-6.02
zinc_div_0747,-6.02
zinc_div_0561,-6.02
zinc_div_0004,-6.02
zinc_div_0107,-6.02
zinc_div_0910,-6.02
zinc_div_0780,-6.01
zinc_div_0242,-6.01
zinc_div_0398,-6.0
zinc_div_0260,-6.0
zinc_div_0075,-6.0
zinc_div_0536,-6.0
zinc_div_0473,-5.99
zinc_div_0616,-5.99
zinc_div_0464,-5.99
zinc_div_0739,-5.99
zinc_div_0074,-5.98
zinc_div_0771,-5.98
zinc_div_0071,-5.98
zinc_div_0837,-5.98
zinc_div_0928,-5.97
zinc_div_0014,-5.97
zinc_div_0387,-5.97
zinc_div_0824,-5.97
zinc_div_0557,-5.97
zinc_div_0795,-5.97
zinc_div_0754,-5.96
zinc_div_0523,-5.96
zinc_div_0901,-5.96
zinc_div_0925,-5.96
zinc_div_0138,-5.96
zinc_div_0931,-5.96
zinc_div_0182,-5.96
zinc_div_0147,-5.96
zinc_div_0084,-5.96
zinc_div_0365,-5.95
zinc_div_0709,-5.95
zinc_div_0858,-5.95
zinc_div_0226,-5.95
zinc_div_0874,-5.95
zinc_div_0857,-5.94
zinc_div_0776,-5.93
zinc_div_0508,-5.93
zinc_div_0903,-5.93
zinc_div_0480,-5.93
zinc_div_0787,-5.93
zinc_div_0740,-5.93
zinc_div_0729,-5.93
zinc_div_0144,-5.93
zinc_div_0988,-5.93
zinc_div_0090,-5.92
zinc_div_0895,-5.92
zinc_div_0005,-5.92
zinc_div_0779,-5.92
zinc_div_0208,-5.91
zinc_div_0574,-5.9
zinc_div_0199,-5.9
zinc_div_0744,-5.9
zinc_div_0677,-5.9
