ligand,affinity_kcal,hbond_total,hydrophobic,pi_stack,interface_residues,hbond_details,is_interface_binder
zinc_div_0277,-8.943,1,0,0,[108],GLY108(pdon)d=3.96a=104.7,True
zinc_div_0276,-8.862,1,0,0,[107],GLN107(ldon)d=3.96a=121.7,True
zinc_div_0310,-8.685,0,0,0,[],,False
zinc_div_0555,-8.656,0,0,0,[],,False
zinc_div_0357,-8.476,0,0,0,[],,False
zinc_div_0300,-8.422,1,0,0,[107],GLN107(ldon)d=3.32a=110.7,True
zinc_div_0340,-8.353,0,0,0,[],,False
zinc_div_0866,-8.218,0,0,0,[],,False
zinc_div_0295,-8.184,1,0,0,[107],GLN107(ldon)d=3.67a=130.5,True
zinc_div_0100,-8.17,1,0,0,[107],GLN107(ldon)d=4.01a=129.4,True
zinc_div_0325,-8.153,1,0,0,[107],GLN107(ldon)d=2.99a=163.9,True
zinc_div_0840,-8.138,0,0,0,[],,False
zinc_div_0303,-8.044,1,0,0,[107],GLN107(ldon)d=3.85a=103.4,True
zinc_div_0389,-8.039,0,0,0,[],,False
zinc_div_0331,-8.004,1,0,0,[107],GLN107(ldon)d=2.79a=130.2,True
zinc_div_0967,-8.004,0,0,0,[],,False
zinc_div_0622,-7.991,1,0,0,[107],GLN107(ldon)d=3.40a=125.9,True
zinc_div_0731,-7.985,0,0,0,[],,False
zinc_div_0352,-7.972,1,0,0,[107],GLN107(ldon)d=3.92a=101.1,True
zinc_div_0374,-7.803,0,0,0,[],,False
